발매일,타이틀,아티스트,프로듀서,1주 순위,2주 순위,4주 순위
,설렘,강석화,,,,
,Let Me Feel the Vibe,Born.D,,,,
,Christmas Elf,Ziodina (지오디나),,,,
,CAMELLIA,투영,,,,
,쫄지마,이짜나언짜나,,,,
,유영,유영(Swim),,,,
,아닌 척 with 구만(9.10000),신아린 (Alin Shin),,,,
,PINK MOON,류수정,,,,
,Lets Go (Fighting),메타클론,,,,
,이제 시작이야,민경훈,,,,
,Keep me up,B.I(비아이),,,,
,Higher,FIFTY FIFTY,,,,
,With You,스타즈(Stars),,,,
,이어폰 (Feat. 공시아),Musist,,,,
,I Do,Viz (비즈),,,,
,loving is hard but,조! (Joh!),,,,
,조조기차 (JOJO TRAIN),민세영,,,,
,반짝이는 우주,페베코(Pebecco),,,,
,Christmas Party,트러스트(Trust),,,,
,Runaway (feat. Cristina Lizzul),24k bird,,,,
,나쁜X,비비(BIBI),,,,
,Fight Inside,AIMERS,,,,
,좋은 날이 올 거야,빨간의자,,,,
,nananasong (나나나송),iknouwannit (아노유워닛),,,,
,우주 음악가 뚜띠,서미미,,,,
,Let Go,레이디오울 (Lady Owl),,,,
,러브티콘 (TiCON),첫사랑(CSR),,,,
,Barricade,withus,,,,
,얼음요새(레오),레오,,,,
,MAGIC,ARTBEAT(아트비트),,,,
,둥지 없는 새,김준현,,,,
,말수가 적은 너,은호수(47Hosu),,,,
,Wish,Red db,,,,
,카메라에 담긴 새,호와호(Howaho),,,,
,I'm Ice cream,손보라,,,,
,Make It,갓퍼스트(God First),,,,
,ME= (나는),JUST B (저스트비),,,,
,Flying to the moon,더빙레이디,,,,
,Cuz U,나나시,,,,
,Rollercoaster,woo!ah! (우아!),,,,
,Whisky On The Rock,김태균,,,,
,TAP,SECRET NUMBER (시크릿넘버),,,,
,2Gether,Z Attack Boyz (전격Z보이즈),,,,
,스드메약,약손유,,,,
,Love is Coffee-created using Groovepad app,Dj.tok,,,,
,에너지 다이어트 10,산업통상자원부 & 한국에너지공단,,,,
,Look At Me,Red db,,,,
,미인,마! 도로스 아이가,,,,
,November (Winter),Tingle (ASMR),,,,
,Cruise,Retrofy,,,,
,You Broke My Heart,플레야(Playa),,,,
,35 Dysnomia (Inst.),원스페이스(1Space),,,,
,The One,DRIPPIN(드리핀),,,,
,Virus,VICTON(빅톤),,,,
,Still in you (Kor ver.),신광일,,,,
,나의 첫 페이지,뮤리엘,,,,
,nokyong is back (Feat. 박승곤),한녹연,,,,
,LED,Red db,,,,
,Harsh,Diapia (디아피아),,,,
,Love Model,빛베리,,,,
,READY,초요,,,,
,Rap Bass,올빼미(Owlpemy),,,,
,Tap Tap,VERIVERY,,,,
,늘 지금처럼 (영화 '동감' X VIVIZ (비비지)),VIVIZ (비비지),,,,
,Selfish,유아 (오마이걸),,,,
,나비춤,비몽X츠키코모리,,,,
,Time,다니로엘 (Danyloel),,,,
,The moon,INNI,,,,
,꼭(Like a dream),김성규,,,,
,페르소나,나겸 (NAAKYEUM),,,,
,VAGABOND,TRENDZ (트렌드지),,,,
,Far Away,Red db,,,,
,Bali,고스락K(Gosrak K),,,,
,욕심,황문섭,,,,
,잊지 말아요,메모리,,,,
,The Hare,제이플라(J.Fla),,,,
,천원짜리 변호사,김경호,,,,
,If you are there,Jian (지안),,,,
,Run Away,Tango,,,,
,꾼,BIG ELE,,,,
,Love So,라보 (RABO),,,,
,나에게로 떠나는 여행,정은지,,,,
,Back In Vogue,AleXa (알렉사),,,,
,Fly away,홍대율,,,,
,흥해라 대한민국,이상,,,,
,What You Wanna Do (feat. Nicole),The Hynes,,,,
,어느날 갑자기,조문근,,,,
,나 잡아봐라,정은숙,,,,
,Cuff It,미코로우 (Mykolow),,,,
,Poison Rose,CRAXY (크랙시),,,,
,Draw,ICHILLIN' (아이칠린),,,,
,I Can't Take It,Calfskin,,,,
,Bam Bam Bam (Feat. 프린(Prin)),최학락,,,,
,높이,테이아(THEIA),,,,
,Time to Fly,박서연,,,,
,이대로 천천히 (Slowly),백아연,,,,
,Lazer,Red db,,,,
,So What,Danny K,,,,
,Addicted,AMOS1,,,,
,빛 (Feat. 백예린),적재,,,,
,"쉼(,)",문별 (마마무),,,,
,오늘은 가지마,j1nsol (진솔),,,,
,24 EGO,SEEN,,,,
,Hooray,Red db,,,,
,Not Enough,베이비시스터(Baby Sister),,,,
,싹 다 모여 (스트릿 맨 파이터 ver.),이대휘 (AB6IX),,,,
,Lights,김종현(JR),,,,
,꿈을 꿔,66th Miss Korea (66th미스코리아),,,,
,Young Boy,NINE.i (나인아이),,,,
,Starlight,윌로우,,,,
,Candy Candy,리피문 (LIPIMOON),,,,
,"Fire to the Fuse (Feat. Jackson Wang, 88rising)  Official Empyrean Music Theme",League of Legends,,,,
,VEIL,림킴 (김예림),,,,
,사랑은 부메랑처럼 돌아오지 않아 (Feat. 자윤),XEN,,,,
