발매일,타이틀,아티스트,프로듀서,1주 순위,2주 순위,4주 순위
,Star,이시안,,,,
,우울소녀 벡스 이야기,League of Legends,,,,
,미움받을 용기,윤여행,,,,
,No Time,Jinee(지니),,,,
,시소,Smawish,,,,
,오늘밤,3.3.3 (트리플쓰리),,,,
,Pain,BIG Bae,,,,
,food,플랏라인,,,,
,Go Far No Fast,송수겸,,,,
,고백 (Prod. MINT),MINT,,,,
,걷게해서미안해 (Feat. Effie),무드(IAMMOOD),,,,
,선악과,엔류,,,,
,난도질(SLASH),식보이(Sikboy),,,,
,Layered Lux,Kenektid X Bookstore,,,,
,밥값 Freestyle (Feat. 과나),황지상 (HWANG JI SANG),,,,
,연락만을 (Feat. D1PX0NKh),Eyal(이얄),,,,
,드림 플렉스 (Dream Flex),해시택(hasitak),,,,
,happened to me,bemore (비모어),,,,
,병정이 되어,디핵(D-Hack),,,,
,다이빙,빌리언(VILLION),,,,
,WANNA BE COOL('걸스 인 더 케이지' OST Part1),드림노트(DreamNote),,,,
,Trophy,블랙나인(BLACK NINE),,,,
,TIME (feat. Rusur),Young Minnie,,,,
,너에게난쓸모없어,닐하드,,,,
,CLEAR++,PsychShane,,,,
,"Beautiful Struggle (Feat. 도재명, 마이노스, 전유동)",Dont open the vinyl,,,,
,OMZ,래원 (Layone),,,,
,CHAINSAW (Feat. CHRIS GUARDY & THATSKUNI),안태민,,,,
,OFFROAD,지쓴(Gson),,,,
,enemies are my fans,nippy ski,,,,
,Lazy Day,타가(Taga),,,,
,CarabianOcean,셀바이뮤직,,,,
,전형적인 곡,bepore (비포),,,,
,We'll be fine,wakeuplone,,,,
,이제는 Good Night (feat. Semi),A Rose,,,,
,자기혐오,Ryu,,,,
,하면 돼,BIG Bae,,,,
,꾼,BIG ELE,,,,
,IF,BYEBOY,,,,
,Cash Cash (feat. 최단테),LIQUVR(리쿠아),,,,
,Bright Light,Placebo,,,,
,인생영화,YUBBY,,,,
,A D D Y,나상욱,,,,
,Imagine Girl,Daybean,,,,
,Omnium (Feat. Kuzi),Galloveis (갤러비스),,,,
,Bad Thoughts,유니보이 (uniboi),,,,
