발매일,타이틀,아티스트,프로듀서,1주 순위,2주 순위,4주 순위
,Mermaid (Feat. Ashley Alisha),서액터,,,,
,숨깊이,지우 (JIWOO),,,,
,아마 remix (Feat. 김은비(EB)),비비(BB),,,,
,"INTP (Introverted, Negative, Twisted, Paranoid)",ARTIe In The Room,,,,
,lonely,제이화(JHWA),,,,
,나도 가끔은,아사히,,,,
,닿아있자 (With 오왠(O.WHEN)),새봄(Saevom),,,,
,real talk! (Prod. tine),Val'dane (밸데인),,,,
,솔직하고 싶은데 (With 이동우),새봄(Saevom),,,,
,어디에 있든 햇살을 모아 주고 싶어 (With 김부경),새봄(Saevom),,,,
,너는 바람 (With 참솜),새봄(Saevom),,,,
,정,Avii Garde,,,,
,전시,빈채,,,,
,유영,유영(Swim),,,,
,두 번째 양화대교,유귀,,,,
,기록,ROGI(로기),,,,
,그 아이가 고백했다,음율,,,,
,Vanishing Cats,오웰무드 (Owell Mood),,,,
,Yeontral Park,곽태풍,,,,
,향초,로키드 (Lokid),,,,
,공기가 달라 (Feat. 한해),1%(원퍼센트),,,,
,2005,보성,,,,
,조금만 더 세상이 나았다면,유진(Eugene),,,,
,MY DAY,하나 (HANA),,,,
,작은별,혜진,,,,
,My You,김개미,,,,
,이건 알아줬으면 해,달리안,,,,
,멀어지는 우리를 잡으려,Jaguaa,,,,
,산책 (Original Ver.),푸른초록,,,,
,"파도 (Feat. 제이에라(J.Era), 패러렐(Parallel), Shuap, VVOOK)",뉴웨이뮤직(NEWAY MUSIC),,,,
,편지,이르다 (irda),,,,
,비밀일기,소현,,,,
,No Return,클라우치(Clouch),,,,
,헤엄치는 어항,폴라이트(Paul Light),,,,
,친구에게 (Rearrange),종코,,,,
,Own city - Pro. 박완신 / Vocal by D. HEN,박완신,,,,
,"Please, for me",yosi,,,,
,Smile at Me,Kiik,,,,
,너만 있으면,노이마 (NO2MA),,,,
,Memories,레이지 차일드(Lazy Child),,,,
,어둠 속에 있어도 (Dreams Come True),히치하이커,,,,
,나의 그림자를 안아주세요,쓰다(Xeuda),,,,
,입장차이,그렇게 우리는 음,,,,
,Miles,기묘,,,,
,Can you dig it soccer?,멋진인생,,,,
,22:29(far),BlackBerry(블랙베리),,,,
,I Can't,NAYNE,,,,
