년도,월,순위,타이틀,가수,프로듀서
2019,1,1,벌써 12시,청하,"블랙아이드필승,전군,라도"
2019,1,2,MILLIONS,WINNER,"강승윤,강욱진,Diggy"
2019,1,3,YES or YES,TWICE (트와이스),"David Amber,Andy Love"
2019,1,4,Love Shot,EXO,"Mike Woods,Kevin White,Andrew Bazzi,Anthony Russo,MZMC,Rice n' Peas"
2019,1,5,Tempo,EXO,"Jamil 'Digi' Chammas,Leven Kali,Tay Jasper,Adrian Mckinnon,MZMC"
2019,1,6,%% (응응),Apink (에이핑크),"블랙아이드필승,전군,라도"
2019,1,7,봄바람,Wanna One (워너원),"iHwak,Flow Blow"
2019,1,8,습관 (Bad Habits),숀 (SHAUN),숀
2019,1,9,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),MosPick
2019,1,10,사이렌 (Siren),선미,"선미,FRANTS"
2019,1,11,Dance The Night Away,TWICE (트와이스),"Anne Judith Stokke Wik,Jonatan Gusmark,Ludvig Evers a.k.a Moonshine,Cazzi Opeia,오승은,Andreas Baertels"
2019,1,12,해야 (Sunrise),여자친구 (GFRIEND),"노주환,이원종"
2019,1,13,트라우마 (Trauma),EXO,"Keynon 'KC' Moore,Cedric 'Dabenchwarma' Smith,Ryan S. Jhun,Danny Jones"
2019,1,14,Gravity,EXO,"LDN Noise,DEEZ,Adrian Mckinnon"
2019,1,15,에너제틱 (Energetic),Wanna One (워너원),"후이,Flow Blow"
2019,1,16,닿은 순간 (Ooh La La La),EXO,"Jamil 'Digi' Chammas,Andrew Bazzi,Justin Lucas,Anthony Pavel,MZMC"
2019,1,17,RBB (Really Bad Boy),Red Velvet (레드벨벳),"KENZIE,Timothy 'Bos' Bullock,Sara Forsberg,MZMC"
2019,1,18,Sign,EXO,"Harvey Mason Jr.,Kevin Randolph,Patrick 'J Que' Smith,Dewain Whitmore,Britt Burton,Andrew Hey"
2019,1,19,BOOMERANG (부메랑),Wanna One (워너원),"원더키드,BreadBeat,로이도,Shaun Kim"
2019,1,20,Damage,EXO,"LDN Noise,DEEZ,Adrian Mckinnon"
2019,1,21,켜줘 (Light),Wanna One (워너원),"iHwak,Royal Dive"
2019,1,22,그 남자를 떠나,god,"J.Y. Park 'The Asiansoul',김승수,아르마딜로"
2019,1,23,불꽃놀이 (Flowerbomb),Wanna One (워너원),"하성운,O.R.O,VENDORS"
2019,1,24,Roller Coaster,청하,"블랙아이드필승,전군,라도"
2019,1,25,알러뷰,EXID,"신사동호랭이,ELLY"
2019,1,26,너나 해 (Egotistic),마마무 (Mamamoo),"김도훈,박우상"
2019,1,27,Forever Young,BLACKPINK,"TEDDY,FUTURE BOUNCE,R.Tee"
2019,1,28,Power Up,Red Velvet (레드벨벳),"Ludvig Evers a.k.a Moonshine,Jonatan Gusmark,Ellen Berg Tollbom,Cazzi Opeia"
2019,1,29,1도 없어,Apink (에이핑크),"블랙아이드필승,전군,라도"
2019,1,30,"셋 셀테니 (1, 2, 3!)",승리,"TEDDY,서원진,24,승리"
2019,1,31,집,Wanna One (워너원),정호현
2019,1,32,뿜뿜,모모랜드 (MOMOLAND),"신사동호랭이,BXN"
2019,1,33,What is Love?,TWICE (트와이스),"J.Y. Park 'The Asiansoul',이우민 'Collapsedone'"
2019,1,34,약속해요 (I.P.U.),Wanna One (워너원),"별들의전쟁,아테나,로빈"
2019,1,35,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,"신사동호랭이,최규성"
2019,1,36,묻고싶다 (One Love),Wanna One (워너원),13
2019,1,37,별이 빛나는 밤,마마무 (Mamamoo),"Dokkun,박우상"
2019,1,38,밤 (Time for the moon night),여자친구 (GFRIEND),"노주환,이원종"
2019,1,39,한(一),(여자)아이들,"빅싼초,전소연"
2019,1,40,Love U,청하,"GATO,C-no,웅킴"
2019,1,41,어쩌나,세븐틴,"WOOZI,BUMZU,박기태"
2019,1,42,REALLY REALLY,WINNER,"강승윤,강욱진,MINO"
2019,1,43,마지막처럼,BLACKPINK,"TEDDY,FUTURE BOUNCE,Lydia Paek"
2019,1,44,POP/STARS,"(여자)아이들, Madison Beer, Jaira Burns, K/DA, League of Legends","라이엇 게임즈,Harloe"
2019,1,45,아주 NICE,세븐틴,"WOOZI,BUMZU"
2019,1,46,Heart Shaker,TWICE (트와이스),"David Amber,Sean Alexander,Avenue 52"
2019,1,47,Awake!,Wanna One (워너원),정호현
2019,1,48,죽겠다 (KILLING ME),iKON,"B.I,죠리,R.Tee"
2019,1,49,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),"Daniel Caesar,Ludwig Lindell,Caesar & Loui"
2019,1,50,LATATA,(여자)아이들,"빅싼초,전소연"
2019,1,51,Bad Boy,Red Velvet (레드벨벳),"The Stereotypes,Maxx Song,Whitney Phillips,유영진"
2019,1,52,불타오르네 (FIRE),방탄소년단,"PDOGG,방시혁,RM,SUGA,Devine Channel"
2019,1,53,BAAM,모모랜드 (MOMOLAND),"신사동호랭이,BXN"
2019,1,54,LIKEY,TWICE (트와이스),"블랙아이드필승,전군,라도"
2019,1,55,불장난,BLACKPINK,"TEDDY,R.Tee"
2019,1,56,Good to Me,세븐틴,"WOOZI,BUMZU,박기태"
2019,1,57,Destiny (Intro.),Wanna One (워너원),"별들의전쟁,아테나"
2019,1,58,La La Love,우주소녀,"영광의 얼굴들,진리,Jake K"
2019,1,59,가시나,선미,"죠리,TEDDY,24"
2019,1,60,숨이 차,세븐틴,"WOOZI,BUMZU,호시"
2019,1,61,BLUE MOON (Prod. GroovyRoom),"효린, 창모 (CHANGMO)",그루비룸
2019,1,62,TT,TWICE (트와이스),"블랙아이드필승,라도"
2019,1,63,Why Don't You Know (Feat. 넉살),청하,"임수호,C-no,웅킴"
2019,1,64,주인공,선미,"TEDDY,24"
2019,1,65,스물셋,아이유,"이종훈,이채규,IU"
2019,1,66,빙글뱅글 (Bingle Bangle),AOA,"Erik Nyholm,Krista Siegfrids,Kristofer Karlsson,김도훈,이상호"
2019,1,67,KNOCK KNOCK,TWICE (트와이스),"Mayu Wakisaka,이우민 'Collapsedone'"
2019,1,68,Decalcomanie (데칼코마니),마마무 (Mamamoo),"MGR,Dokkun,박우상"
2019,1,69,CHEER UP,TWICE (트와이스),"블랙아이드필승,라도"
2019,1,70,불꽃놀이 (Remember Me),오마이걸 (OH MY GIRL),"Steven Lee,Caroline Gustavsson"
2019,1,71,피카부 (Peek-A-Boo),Red Velvet (레드벨벳),"Ludvig Evers a.k.a Moonshine,Cazzi Opeia,Ellen Berg Tollbom"
2019,1,72,Rumor,국.슈 (국프의 핫이슈),13
2019,1,73,Shhh,세븐틴,"BUMZU,Anchor"
2019,1,74,I NEED U,방탄소년단,"PDOGG,방시혁,RM,SUGA,j-hope,브라더수"
2019,1,75,Traveler,숀 (SHAUN),숀
2019,1,76,좋은 날,아이유,이민수
2019,1,77,찾아가세요,러블리즈,스페이스카우보이
2019,1,78,러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳),"Albi Albertsson,Markus Lindell,Belle Humble"
2019,1,79,비밀정원,오마이걸 (OH MY GIRL),"Steven Lee,Mayu Wakisaka,Sean Alexander"
2019,1,80,시간을 달려서 (Rough),여자친구 (GFRIEND),"임수호,용배"
2019,1,81,몰랐니 (Lil' Touch),소녀시대-Oh!GG,"Lance Shipp,Rachael Kennedy,Nathalia Marshall,Laurell Barker,VMP,LIONCHLD"
2019,1,82,너랑 나,아이유,이민수
2019,1,83,New Face,싸이 (PSY),"싸이,유건형"
2019,1,84,캥거루 (Kangaroo) (Prod. ZICO),Wanna One (워너원) - 트리플포지션,"ZICO,Poptime"
2019,1,85,Save ME,방탄소년단,"PDOGG,Ray Michael Djan Jr,Ashton Foster,Samantha Harper,RM,SUGA,j-hope"
2019,1,86,Dejavu,뉴이스트 W,"BUMZU,백호,Anchor"
2019,1,87,여름여름해 (Sunny Summer),여자친구 (GFRIEND),"이단옆차기,black edition"
2019,1,88,HELP ME,뉴이스트 W,"BUMZU,백호,Anchor"
2019,1,89,나로 말할 것 같으면 (Yes I am),마마무 (Mamamoo),Dokkun
2019,1,90,터미널 (Terminal),숀 (SHAUN),숀
2019,1,91,Rookie,Red Velvet (레드벨벳),"Jamil 'Digi' Chammas,MZMC,Tay Jasper,Otha 'Vakseen' Davis III,Leven Kali,Sara Forsberg,Karl Powell,Harrison Johnson,The Colleagues"
2019,1,92,OOH-AHH하게,TWICE (트와이스),"Sam Lewis,블랙아이드필승,라도"
2019,1,93,Wow Thing,"슬기 (SEULGI), 신비 (여자친구), 청하 (CHUNG HA), 전소연 (SOYEON)","Karen Poole,Anne Judith Stokke Wik,Sonny J Mason"
2019,1,94,SIGNAL,TWICE (트와이스),"박진영,Joe J. Lee 'Kairos',김승수,아르마딜로"
2019,1,95,ISLAND,WINNER,"강승윤,Bekuh BOOM,FUTURE BOUNCE"
2019,1,96,부탁해,우주소녀,"영광의 얼굴들,진리,Jake K"
2019,1,97,오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND),"임수호,용배"
2019,1,98,하루 끝,아이유,"Dokkun,박근태"
2019,1,99,DINOSAUR,AKMU (악뮤),"이찬혁, 로빈"
