년도,월,순위,타이틀,가수,프로듀서
2019,1,2,아낙네,MINO (송민호),"MINO, FUTURE BOUNCE, TEXU"
2019,1,3,띵 (Prod. By 기리보이),"Jvcki Wai (재키와이), 양홍원 (YANGHONGWON), Osshun Gum (오션검), 한요한 (HANYOHAN)","Jvcki Wai, GIRIBOY"
2019,1,5,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1 (피에이치원), 키드밀리 (Kid Milli), 루피 (Loopy)","CODE KUNST, Paloalto, pH-1, Kid Milli, Loopy"
2019,1,9,시간이 들겠지 (Feat. Colde),로꼬 (Loco),"APRO, Loco, Colde"
2019,1,10,IndiGO,"저스디스 (JUSTHIS), 키드밀리 (Kid Milli), NO:EL (노엘), 양홍원 (YANGHONGWON)",BRLLNT
2019,1,12,flex (Prod. By 기리보이),"기리보이 (GIRIBOY), 키드밀리 (Kid Milli), NO:EL (노엘), 스윙스 (Swings)",GIRIBOY
2019,1,20,수퍼비와 (Feat. BewhY) (Prod. BewhY),수퍼비 (SUPERBEE),"Truthislonely, twlv, SUPERBEE"
2019,1,23,Save (Feat. 팔로알토)(Prod. 코드 쿤스트),루피 (Loopy),"CODE KUNST, Loopy, Paloalto"
2019,1,25,사임사임 (Feat. CHANGMO),"쿠기 (Coogie), 수퍼비 (SUPERBEE), D.Ark (디아크)",CHANGMO
2019,1,26,붕붕 (Feat. 식케이) (Prod. GroovyRoom),김하온 (HAON),"GroovyRoom, Sik-K"
2019,1,27,소년점프 (Feat. 배기성),마미손 (Mommy Son),"Mommy Son, Ye-Yo!"
2019,1,28,시차 (We Are) (Feat. 로꼬 & GRAY),우원재 (Woo Wonjae),GRAY
2019,1,29,NoNo (Feat. 사이먼 도미닉) (Prod. 코드 쿤스트),루피 (Loopy),"CODE KUNST, Loopy, Simon Dominic"
2019,1,30,Heu ! (Full Ver.),수퍼비 (SUPERBEE),"SUPERBEE, Flash Note"
2019,1,35,꽃 (Prod. AVIN),김하온 (HAON),"HAON, AVIN"
2019,1,36,아름다워,창모 (CHANGMO),CHANGMO
2019,1,40,Selfmade Orange (Feat. SUPERBEE),창모 (CHANGMO),CHANGMO
2019,1,41,널 너무 모르고,헤이즈 (Heize),GroovyRoom
2019,1,42,Jenga (Feat. Gaeko),헤이즈 (Heize),"Heize, DAVII"
2019,1,43,Hate You (Feat. 우원재) (Prod. 코드 쿤스트),pH-1 (피에이치원),"CODE KUNST, pH-1"
2019,1,44,북향 (Feat. 오혁),다이나믹 듀오 (Dynamicduo),"GAEKO, Padi, Vendy"
2019,1,45,iffy (Prod. GroovyRoom),"식케이 (Sik-K), pH-1 (피에이치원), 박재범 (Jay Park), 그루비룸 (GroovyRoom)",GroovyRoom
2019,1,46,Enchanted Propaganda,Jvcki Wai (재키와이),Eddy Pauer
2019,1,47,"NOAH (Feat. 박재범, Hoody)",김하온 (HAON),"GroovyRoom, Jay Park"
2019,1,48,돌아오지마 (Feat. 용준형 Of 비스트),헤이즈 (Heize),"Heize, 브라더수"
2019,1,49,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),"Tablo, DJ 투컷"
2019,1,50,+82 Bars,수퍼비 (SUPERBEE),Flash Note
2019,1,51,Wu,나플라 (nafla),nafla
2019,1,52,WHY DO FUCKBOIS HANG OUT ON THE NET,키드밀리 (Kid Milli),"Kid Milli, 이수호"
2019,1,53,Late Night,"로꼬 (Loco), GRAY (그레이)","Loco, GRAY"
2019,1,55,어땠을까 (Feat. 박정현),싸이 (PSY),"PSY, 유건형"
2019,1,56,바코드 (Prod. GroovyRoom),"김하온 (HAON), 빈첸 (VINXEN)",GroovyRoom
2019,1,57,Change (Feat. GRAY) (Prod. 코드 쿤스트),키드밀리 (Kid Milli),"CODE KUNST, GRAY, Kid Milli"
2019,1,58,억 (Feat. CHANGMO) (Prod. CHANGMO),수퍼비 (SUPERBEE),"SUPERBEE, CHANGMO"
2019,1,59,IndiGO Remix,"기리보이 (GIRIBOY), The Quiett (더 콰이엇), 마미손 (Mommy Son), 스윙스 (Swings)",BRLLNT
2019,1,60,MOMM (Feat. JUSTHIS) (Prod. 코드 쿤스트),키드밀리 (Kid Milli),"CODE KUNST, Kid Milli"
2019,1,63,마에스트로 (Maestro),창모 (CHANGMO),CHANGMO
2019,1,66,미안 (Feat. OLNL),기리보이 (GIRIBOY),"Cosmic Boy, hoiwave, GIRIBOY, dnss"
2019,1,67,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍 (LEESSANG),"Leon Russell, Bonnie Bramlett, Delaney Bramlett, 길, PEEJAY"
2019,1,68,5 Gawd,수퍼비 (SUPERBEE),"SUPERBEE, Flash Note"
2019,1,69,"And July (Feat. DEAN, DJ Friz)",헤이즈 (Heize),"Deanfluenza, Hyuk Shin, J Bird, Esta, Delly Boi, DK"
2019,1,70,Artist,지코 (ZICO),"ZICO, Poptime"
2019,1,71,Work Out,"Jvcki Wai (재키와이), 키드밀리 (Kid Milli), NO:EL (노엘), 양홍원 (YANGHONGWON), 스윙스 (Swings)",P#000000
2019,1,74,Honmono (Feat. Black Nut),키드밀리 (Kid Milli),IOAH
2019,1,75,Martini Blue,DPR LIVE (디피알 라이브),"DPR LIVE, DPR CREAM"
2019,1,78,"Finish Line Remix (Feat. pH-1, Woodie Gochild, HAON (김하온), Avatar Darko, Sik-K)",박재범 (Jay Park),"Cha Cha Malone, Jay Park, GRAY, Stay Tuned"
2019,1,79,119 (Feat. GRAY),"나플라 (nafla), pH-1 (피에이치원), 키드밀리 (Kid Milli), OLNL (오르내림), 루피 (Loopy), 수퍼비 (SUPERBEE)",GRAY
2019,1,80,자니 (Feat. Dynamic Duo),프라이머리 (Primary),"GAEKO, Primary"
