년도,월,순위,타이틀,가수,프로듀서
2021,1,1,오래된 노래,스탠딩 에그 (Standing Egg),"Egg1,Egg2,Egg3"
2021,1,2,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재 (Jukjae),"DOKO,사승호"
2021,1,3,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),"오반,VAN.C"
2021,1,4,서면역에서,순순희 (SOONSOONHEE),이래언
2021,1,5,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"마크툽,이라온,Triple Synergy,박민지"
2021,1,7,가을밤에 든 생각,잔나비 (Jannabi),"잔나비 최정훈,김도형"
2021,1,8,너의 번호를 누르고 (Prod. 영화처럼),#안녕,"리트너,두번째 별,임정규"
2021,1,9,별을 담은 시 (Ode To The Stars),"마크툽 (MAKTUB), 이라온 (LEE RAON)","마크툽,이라온"
2021,1,10,주저하는 연인들을 위해,잔나비 (Jannabi),"잔나비 최정훈,김도형,유영현,권박사"
2021,1,11,축하해 (Prod. By VAN.C),오반 (OVAN),"VAN.C,오반"
2021,1,12,너밖에 안보여,임재현 (Lim Jae Hyun),2soo
2021,1,13,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기 (BOL4),"안지영,바닐라맨"
2021,1,14,조금 취했어 (Prod. 2soo),임재현 (Lim Jae Hyun),2soo
2021,1,15,선물,멜로망스 (MeloMance),"멜로망스,정동환"
2021,1,16,별 보러 가자,적재 (Jukjae),"적재,추대관"
2021,1,17,붙잡고 싶어도,#안녕,"리트너,임정규"
2021,1,18,입김,10CM (십센치),"10CM,이요한,방인재,성수용,이윤혁"
2021,1,19,Way Back Home,숀 (SHAUN),숀
2021,1,20,나의 사춘기에게,볼빨간사춘기 (BOL4),"안지영,바닐라맨"
2021,1,21,혜화동 거리에서,피아노맨 (PIANO MAN),"피아노맨,이종혁"
2021,1,22,서툰 이별을 하려해 (Feat.전상근),윤토벤 (YounToven) ,B.a.B
2021,1,23,어떻게 지내 (답가),런치 (LUNCH),"오반,VAN.C"
2021,1,24,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),에이치코드
2021,1,25,폰서트,10CM (십센치),"10CM,이요한,성수용,이윤혁"
2021,1,26,여행,볼빨간사춘기 (BOL4),"안지영,바닐라맨"
2021,1,27,스토커,10CM (십센치),"10CM,Fine Five"
