Id,Label,timeset,Weighted Degree,eigencentrality
RyanS.Jhun,RyanS.Jhun,,0.085798,0.135238
EmmaLovBlock,EmmaLovBlock,,0.018298,0.008496
Michel'Lindgren'Schulz,Michel'Lindgren'Schulz,,0.140769,0.031753
용감한홍차,용감한홍차,,0.003683,0.010046
젝스키스,젝스키스,,0.015388,0.004087
KarenPoole,KarenPoole,,0.039973,0.15809
MOpin,MOpin,,0.028329,0.033339
DannyJones,DannyJones,,0.076601,0.126881
SeanMichaelAlexander,SeanMichaelAlexander,,0.192682,0.033072
LanceShipp,LanceShipp,,0.01039,0.005655
AnthonyPavel,AnthonyPavel,,0.066786,0.126881
BreadBeat,BreadBeat,,0.083795,0.019983
EXO-CBX(첸백시),EXO-CBX(첸백시),,0,0
GustavKarlstrom,GustavKarlstrom,,0.018516,0.004382
SimonPetren,SimonPetren,,0.060187,0.016785
DewainWhitmore,DewainWhitmore,,0.064318,0.126881
B.I,B.I,,0.077839,0.01009
창모(CHANGMO),창모(CHANGMO),,0.213197,0.004669
AndreasCarlsson,AndreasCarlsson,,0.052751,0.011548
Caesar&Loui,Caesar&Loui,,0.387851,0.065264
라도,라도,,1.601353,0.078977
WOODZ,WOODZ,,0.013828,0.008166
VENDORS,VENDORS,,0.107567,0.027011
PerChristianOttestadakaBoots,PerChristianOttestadakaBoots,,0.039491,0.00725
Jamil'Digi'Chammas,Jamil'Digi'Chammas,,0.350159,0.192145
서용배,서용배,,0.043066,0.021684
B1A4,B1A4,,0.036596,0.009415
양준일,양준일,,0.027126,0.004087
로빈,로빈,,0.046866,0.023012
투모로우바이투게더,투모로우바이투게더,,0.66556,0.054369
마경식,마경식,,0.007694,0.002598
영광의얼굴들,영광의얼굴들,,0.121191,0.03788
용배,용배,,0.144264,0.044925
MadisonBeer,MadisonBeer,,0.140849,0.012717
KaelinEllis,KaelinEllis,,0.023025,0.126881
오마이걸(OHMYGIRL),오마이걸(OHMYGIRL),,2.219395,0.157909
ChrisYoung,ChrisYoung,,0.027845,0.004988
ShaunKim,ShaunKim,,0.10833,0.023012
강승윤,강승윤,,0.733232,0.010349
이형탁,이형탁,,0.013563,0.002598
Noheul,Noheul,,0.141826,0.0186
AndrewHey,AndrewHey,,0.064318,0.126881
비오,비오,,0.031877,0.010159
RonnyVidarSvendsen,RonnyVidarSvendsen,,0.041175,0.009168
진영,진영,,0.029355,0.035024
박진영(J.Y.Park),박진영(J.Y.Park),,0.046591,0.020694
최준영,최준영,,0.008622,0.004058
권덕근,권덕근,,0.021372,0.002598
