Id,Label,timeset,Weighted Degree,eigencentrality
Esta,Esta,,0.128692,0.011649
SUPERBEE,SUPERBEE,,0.508835,0.033279
짱유(JJANGYOU),짱유(JJANGYOU),,0.182898,0.094725
Yunu,Yunu,,0.011938,0.029587
HuckleberryP,HuckleberryP,,0.09109,0.141874
팔로알토(Paloalto),팔로알토(Paloalto),,0.248901,0.193081
피터팬,피터팬,,0.138584,0.043691
보이비(BoiB),보이비(BoiB),,0.318027,0.729239
Poptime,Poptime,,0.116633,0.016999
김진표(JP),김진표(JP),,0.002857,0.004776
JBird,JBird,,0.128692,0.011649
ChaChaMalone,ChaChaMalone,,0.007135,0.025078
이수호,이수호,,0.093484,0.052502
DPRLIVE,DPRLIVE,,0.112196,0.008989
양세형,양세형,,0.002121,0.004023
Primary,Primary,,0.136687,0.013288
YUNHWAY(윤훼이),YUNHWAY(윤훼이),,0.278636,0.163959
UNTITLEDS,UNTITLEDS,,0.017999,0.030027
브라더수,브라더수,,0.09029,0.011649
나플라(nafla),나플라(nafla),,0.03122,0.104715
길,길,,0.11825,0.004517
WoodieGochild(우디고차일드),WoodieGochild(우디고차일드),,0.267158,0.136879
Untell(언텔),Untell(언텔),,0.027906,0.024226
Dbo,Dbo,,0.121475,0.046795
조원우(Jowonu),조원우(Jowonu),,0.036177,0.026449
GRAY,GRAY,,0.875418,1
지코(ZICO),지코(ZICO),,0.659347,0.111749
APRO,APRO,,0.209384,0.064366
Jclef,Jclef,,0.013293,0.058269
MadeByMe,MadeByMe,,0.000363,0.014395
FlashNote,FlashNote,,0.396621,0.033279
Crush,Crush,,0.3962,0.813965
PULLIK(박준호),PULLIK(박준호),,0.032362,0.007278
DINDIN,DINDIN,,0.002121,0.004023
CHANGMO,CHANGMO,,1.177693,0.090993
basecamp,basecamp,,0.192764,0.058269
Lellamarz,Lellamarz,,0.057458,0.073447
U-Tum,U-Tum,,0.007696,0.073046
youra,youra,,0.044456,0.058269
SOLE,SOLE,,0.02725,0.010588
김승민(KimSeungmin),김승민(KimSeungmin),,0.062064,0.061295
twlv,twlv,,0.226624,0.036502
NOD,NOD,,0.000363,0.014395
빈첸(VINXEN),빈첸(VINXEN),,0.194307,0.037386
개코(GAEKO),개코(GAEKO),,0.318027,0.729239
PSY,PSY,,0.132087,0.004776
pH-1(피에이치원),pH-1(피에이치원),,1.312221,0.26076
TEXU,TEXU,,0.195672,0.00299
YUNHWAY,YUNHWAY,,0.054346,0.095015
Jetti,Jetti,,0.015589,0.039383
FANXYCHILD(팬시차일드),FANXYCHILD(팬시차일드),,0.094452,0.106349
유주(YUJU),유주(YUJU),,0.207876,0.02007
YunB(윤비),YunB(윤비),,0.201386,0.093073
스월비(Swervy),스월비(Swervy),,0.036177,0.026449
유희열,유희열,,0.318027,0.71214
CODEKUNST,CODEKUNST,,1.427813,0.255358
기리보이(GIRIBOY),기리보이(GIRIBOY),,2.255965,0.444001
에픽하이(EPIKHIGH),에픽하이(EPIKHIGH),,0.988585,0.085705
HANYOHAN,HANYOHAN,,0.112407,0.045545
헤이즈(Heize),헤이즈(Heize),,1.222209,0.060118
Noheul,Noheul,,0.138584,0.043691
Deepflow,Deepflow,,0.09109,0.141874
VINXEN,VINXEN,,0.079666,0.013556
BewhY(비와이),BewhY(비와이),,0.203875,0.15736
BIGNaughty(서동현),BIGNaughty(서동현),,0.543626,0.227011
TheNeed,TheNeed,,0.082252,0.036502
BigPie,BigPie,,0.002799,0.030697
딥플로우(Deepflow),딥플로우(Deepflow),,0.212724,0.166631
pH-1,pH-1,,0.696313,0.15807
SLO,SLO,,0.039129,0.034005
도넛맨(Donutman),도넛맨(Donutman),,0.062064,0.061295
Padi,Padi,,0.038059,0.010588
Deanfluenza,Deanfluenza,,0.147583,0.024856
COUPD'ETAT,COUPD'ETAT,,0.002121,0.004023
JINBO,JINBO,,0.008813,0.005421
1of1,1of1,,0.010757,0.010588
plusNONE,plusNONE,,0.010757,0.010588
CurtisF,CurtisF,,0.092881,0.048713
스윙스(Swings),스윙스(Swings),,0.671562,0.242282
최진호(BlueWhale),최진호(BlueWhale),,0.148986,0.128816
Leellamarz,Leellamarz,,0.114787,0.077714
ASHISLAND,ASHISLAND,,0.130773,0.012987
양홍원(YANGHONGWON),양홍원(YANGHONGWON),,1.265102,0.272649
ZENETHEZILLA,ZENETHEZILLA,,0.043094,0.064409
똘아이박,똘아이박,,0.138584,0.043691
코스믹사운드,코스믹사운드,,0.117372,0.004776
Cashbanger,Cashbanger,,0.516351,0.043298
HyukShin,HyukShin,,0.128692,0.011649
Mokyo,Mokyo,,0.023525,0.070846
TheQuiett(더콰이엇),TheQuiett(더콰이엇),,0.351639,0.236884
DAVII,DAVII,,0.072049,0.011649
강민수(AQUINAS),강민수(AQUINAS),,0.074479,0.006326
ZiorPark(지올팍),ZiorPark(지올팍),,0.318027,0.729239
유재석,유재석,,0.318027,0.71214
빈지노(Beenzino),빈지노(Beenzino),,0.341721,0.021746
Svng,Svng,,0.007696,0.039383
chilly,chilly,,0.044456,0.058269
KyoLee,KyoLee,,0.036717,0.036746
SUGA,SUGA,,0.039071,0.013475
HashSwan,HashSwan,,0.000722,0.017307
WOOGIE,WOOGIE,,0.086471,0.069877
피아노맨,피아노맨,,0.026953,0.007695
Loopy,Loopy,,0.851004,0.146229
Dvwn,Dvwn,,0.035536,0.016999
CosmicBoy,CosmicBoy,,0.058176,0.058269
홍소진,홍소진,,0.318027,0.71214
다이나믹듀오(Dynamicduo),다이나믹듀오(Dynamicduo),,0.495614,0.044193
DPRLIVE(디피알라이브),DPRLIVE(디피알라이브),,0.221872,0.038727
유건형,유건형,,0.132087,0.004776
프리마비스타,프리마비스타,,0.000722,0.017307
MUSHVENOM,MUSHVENOM,,0.011376,0.002859
trrst,trrst,,0.029837,0.052022
Godic,Godic,,0.032362,0.013908
BOYCOLD,BOYCOLD,,0.572387,0.232849
dnss,dnss,,0.010283,0.058269
JvckiWai(재키와이),JvckiWai(재키와이),,0.632396,0.099849
매드클라운(MadClown),매드클라운(MadClown),,0.180905,0.072348
박경(PARKKYUNG),박경(PARKKYUNG),,0.101789,0.033409
창모(CHANGMO),창모(CHANGMO),,1.009544,0.115082
SEOMINGYU(서민규),SEOMINGYU(서민규),,0.041771,0.006326
JayPark,JayPark,,0.10108,0.058439
TANGTHEAWESOME,TANGTHEAWESOME,,0.061266,0.030108
식케이(Sik-K),식케이(Sik-K),,0.171717,0.051867
VAN.C,VAN.C,,0.017693,0.007695
DJ투컷,DJ투컷,,0.29063,0.013475
그루비룸(GroovyRoom),그루비룸(GroovyRoom),,0.307813,0.053207
Smob,Smob,,0.010134,0.016715
Blue.D,Blue.D,,0.029135,0.008977
염따(YUMDDA),염따(YUMDDA),,0.629376,0.233272
블루(BLOO),블루(BLOO),,0.137294,0.003353
OLIVER,OLIVER,,0.036717,0.036746
DPRCREAM,DPRCREAM,,0.08034,0.008989
GRAY(그레이),GRAY(그레이),,0.393336,0.750978
PaulBlanco,PaulBlanco,,0.022011,0.061527
Nutty,Nutty,,0.074113,0.007942
김민규(YoungKay),김민규(YoungKay),,0.182319,0.03649
protonebula,protonebula,,0.0123,0.058269
iHwak,iHwak,,0.032688,0.010689
HashSwan(해쉬스완),HashSwan(해쉬스완),,0.250747,0.036853
지구인(Geegooin),지구인(Geegooin),,0.318027,0.729239
THAMA,THAMA,,0.02725,0.010588
긱스(Geeks),긱스(Geeks),,0.043028,0.007595
블랙넛(BlackNut),블랙넛(BlackNut),,0.12478,0.057304
이영지(LeeYoung-ji),이영지(LeeYoung-ji),,0.234836,0.04646
트웰브(twlv),트웰브(twlv),,0.055323,0.012503
프라이머리(Primary),프라이머리(Primary),,0.137939,0.007433
Liltachi(릴타치),Liltachi(릴타치),,0.305538,0.155551
Zoorumpug,Zoorumpug,,0.029702,0.047333
MoonMean,MoonMean,,0.012708,0.017785
Crush(크러쉬),Crush(크러쉬),,0.318027,0.729239
NO:EL(노엘),NO:EL(노엘),,0.560617,0.233026
WooWonjae,WooWonjae,,0.117161,0.042682
PENOMECO,PENOMECO,,0.046825,0.044601
WelcomeIan,WelcomeIan,,0,0
맥대디(Mckdaddy),맥대디(Mckdaddy),,0.091107,0.049364
JISU,JISU,,0.004744,0.058269
VerbalJint,VerbalJint,,0.077857,0.102922
ASHISLAND(애쉬아일랜드),ASHISLAND(애쉬아일랜드),,0.556119,0.084954
이상순,이상순,,0.318027,0.71214
hoiwave,hoiwave,,0.034148,0.088966
badassgatsby,badassgatsby,,0.002154,0.026556
한요한(HANYOHAN),한요한(HANYOHAN),,0.717778,0.112455
Ye-Yo!,Ye-Yo!,,0.044021,0.077033
로꼬(Loco),로꼬(Loco),,1.266699,0.321321
최엘비(CHOILB),최엘비(CHOILB),,0.230102,0.112653
김하온(HAON),김하온(HAON),,0.722402,0.057895
millic,millic,,0.12886,0.130238
키드밀리(KidMilli),키드밀리(KidMilli),,2.100758,0.443371
루이,루이,,0.010757,0.003367
우원재(WooWonjae),우원재(WooWonjae),,0.412293,0.150639
DPRCREAM(디피알크림),DPRCREAM(디피알크림),,0.002154,0.005673
DelaneyBramlett,DelaneyBramlett,,0.116456,0.004517
저스디스(JUSTHIS),저스디스(JUSTHIS),,0.327511,0.115326
Sik-K,Sik-K,,0.182995,0.019836
GLEAM,GLEAM,,0.034858,0.058269
화사(HwaSa),화사(HwaSa),,0.047576,0.030937
Truthislonely,Truthislonely,,0.144006,0.026397
P#000000,P#000000,,0.086863,0.158211
버벌진트(VerbalJint),버벌진트(VerbalJint),,0.004923,0.041299
박재범(JayPark),박재범(JayPark),,0.273859,0.199021
적재,적재,,0.318027,0.71214
Jhnovr,Jhnovr,,0.0533,0.093727
KelbyClarke,KelbyClarke,,0.02725,0.010588
페노메코(PENOMECO),페노메코(PENOMECO),,0.027818,0.113976
CJAMM,CJAMM,,0.044784,0.018703
D.Ark(디아크),D.Ark(디아크),,0.114351,0.013405
SanE,SanE,,0.117372,0.004776
ZICO,ZICO,,0.26932,0.030206
IlBOI,IlBOI,,0.010757,0.003367
noisemasterminsu,noisemasterminsu,,0.176878,0.141874
Rohann(이로한),Rohann(이로한),,0.012799,0.006868
SanE(산이),SanE(산이),,0.117372,0.004776
Vangdale,Vangdale,,0.012533,0.018546
UNEDUCATEDKID(언에듀케이티드키드),UNEDUCATEDKID(언에듀케이티드키드),,0.349686,0.036057
릴러말즈(Leellamarz),릴러말즈(Leellamarz),,0.35069,0.113422
Hangzoo,Hangzoo,,0,0
sokodomo(소코도모),sokodomo(소코도모),,0.149709,0.06467
권영찬,권영찬,,0.318027,0.71214
윤상,윤상,,0.318027,0.71214
AirAir,AirAir,,0.008775,0.058269
Swings,Swings,,0.062531,0.045545
STAFFONLY,STAFFONLY,,0.074113,0.007942
권영훈(TANGTHEAWESOME),권영훈(TANGTHEAWESOME),,0.128567,0.089226
nafla,nafla,,0.024371,0.01172
TAKUWA(타쿠와),TAKUWA(타쿠와),,0.05521,0.039091
KIRIN,KIRIN,,0.027638,0.039656
TheQuiett,TheQuiett,,0.294169,0.258894
GIRIBOY,GIRIBOY,,4.483096,0.451141
BewhY,BewhY,,0.300906,0.165717
2xxx,2xxx,,0.007257,0.030697
Score(13),Score(13),,0.031551,0.006846
양홍원,양홍원,,0.394722,0.127393
BIGNaughty,BIGNaughty,,0.392969,0.172428
PARKKYUNG,PARKKYUNG,,0.031551,0.006846
박성준,박성준,,0.000722,0.031463
김효은(Keemhyoeun),김효은(Keemhyoeun),,0.250747,0.036853
마미손(MommySon),마미손(MommySon),,0.423677,0.787387
WOODZ,WOODZ,,0.029135,0.008977
EK,EK,,0.11042,0.046701
BRLLNT,BRLLNT,,0.994261,0.354779
Heize,Heize,,0.301413,0.069918
MommySon,MommySon,,0.044021,0.077033
딘딘(DINDIN),딘딘(DINDIN),,0.010604,0.010069
SamKim,SamKim,,0.318027,0.71214
wherechoi,wherechoi,,0.007696,0.039383
KRAK,KRAK,,0.026953,0.007695
펀치넬로(punchnello),펀치넬로(punchnello),,0.203423,0.06517
Coogie,Coogie,,0.060269,0.037995
EddyPauer,EddyPauer,,0.064363,0.013376
브린(Bryn),브린(Bryn),,0.05521,0.039091
monoman,monoman,,0.033883,0.035479
사이먼도미닉(SimonDominic),사이먼도미닉(SimonDominic),,0.511763,0.289405
GroovyRoom,GroovyRoom,,1.367731,0.160899
StayTuned,StayTuned,,0.036066,0.055284
SHIMMYTWICE,SHIMMYTWICE,,0.085775,0.005421
방인재,방인재,,0.010757,0.003367
김효은,김효은,,0.09109,0.141874
DellyBoi,DellyBoi,,0.128692,0.011649
쿠기(Coogie),쿠기(Coogie),,0.119681,0.043455
권세영,권세영,,0.010757,0.011248
EK(이케이),EK(이케이),,0.069534,0.083777
DevineChannel,DevineChannel,,0.02725,0.010588
UNEDUCATEDKID,UNEDUCATEDKID,,0.252496,0.091547
philtre,philtre,,0.165059,0.013475
JvckiWai,JvckiWai,,0.960827,0.149621
PEEJAY,PEEJAY,,0.312217,0.026936
OLNL(오르내림),OLNL(오르내림),,0.006849,0.102231
WayChed,WayChed,,0.779576,0.13397
