Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Justakiid,Justakiid,,12,0.153035,0.170389,0
MariaBroberg,MariaBroberg,,14,0.134475,0.152213,0
Nthonius,Nthonius,,11,0.197607,0.229471,882.688582
AFSHEEN,AFSHEEN,,14,0.134475,0.152213,0
강연욱,강연욱,,11,0.194557,0.223576,0
김도훈,김도훈,,13,0.136312,0.158006,0
real-fantasy,real-fantasy,,11,0.194557,0.223576,0
최준영,최준영,,3,0.529412,0.592593,18
박슬기,박슬기,,11,0.194557,0.223576,0
SeanAlexander,SeanAlexander,,11,0.209904,0.249406,1681.47614
SteveAoki,SteveAoki,,14,0.133352,0.145305,0.25
AndrewChoi,AndrewChoi,,15,0.129111,0.14834,0
황성제,황성제,,15,0.12925,0.148688,0
윤종성,윤종성,,11,0.194557,0.223576,0
MikeDaley,MikeDaley,,13,0.14524,0.167234,0
정윤,정윤,,12,0.181165,0.214232,0
LIL27CLUB,LIL27CLUB,,12,0.172924,0.194688,0
aespa,aespa,,12,0.16807,0.204084,2853
볼빨간사춘기,볼빨간사춘기,,14,0.148389,0.182792,3325
AllisonKaplan,AllisonKaplan,,11,0.186381,0.214562,0
서동환,서동환,,2,0.6,0.666667,0
AnthonyRusso,AnthonyRusso,,13,0.173049,0.21772,942
Ollipop,Ollipop,,11,0.209353,0.247803,1318.246877
청하,청하,,10,0.200586,0.243755,8380.510994
우기,우기,,16,0.100715,0.118937,0
NazTokio,NazTokio,,12,0.172924,0.194688,0
JisooPark,JisooPark,,13,0.172302,0.213719,0
DelaneyJane,DelaneyJane,,13,0.143671,0.162296,0
소녀시대-태티서(Girls'Generation-TTS),소녀시대-태티서(Girls'Generation-TTS),,12,0.135082,0.149653,1431
뉴이스트,뉴이스트,,12,0.164718,0.185816,615.02361
Halsey,Halsey,,12,0.15767,0.180806,0
아이오아이(I.O.I),아이오아이(I.O.I),,13,0.154616,0.178866,542.728898
이형탁,이형탁,,2,0.666667,0.75,0
CelineSvanback,CelineSvanback,,12,0.181165,0.214232,0
다비치,다비치,,12,0.154516,0.186813,2722.299347
Bull$EyE,Bull$EyE,,11,0.19859,0.23149,1857.940463
LukasHallgren,LukasHallgren,,14,0.134475,0.152213,0
SlowRabbit,SlowRabbit,,12,0.172924,0.194688,0
송수윤,송수윤,,13,0.141632,0.154016,0
RyanS.Jhun,RyanS.Jhun,,12,0.182546,0.220321,4690
ShaeJacobs,ShaeJacobs,,13,0.149407,0.172762,0
문정규,문정규,,14,0.133501,0.147272,0
솔라(마마무),솔라(마마무),,12,0.153723,0.179402,478
JuliaMichaels,JuliaMichaels,,11,0.1916,0.220151,0
김진,김진,,10,0.192369,0.21725,0
황세준,황세준,,12,0.181165,0.214232,0
BUMZU,BUMZU,,11,0.155722,0.172818,83.467284
한희준,한희준,,4,0.375,0.453704,0
AlbiAlbertsson,AlbiAlbertsson,,11,0.187402,0.218598,3304
SimonPetren,SimonPetren,,11,0.155823,0.17334,1900
HaydenChapman,HaydenChapman,,13,0.173049,0.21772,230.539095
danke,danke,,12,0.162483,0.188195,0
ShaunLopez,ShaunLopez,,13,0.14393,0.163862,0
72,72,,12,0.182685,0.221713,753.893774
Wolftyla,Wolftyla,,15,0.107689,0.12719,72.90347
박근태,박근태,,12,0.162483,0.188195,0
AndrewScott,AndrewScott,,11,0.186381,0.214562,0
지코,지코,,13,0.153723,0.171874,1974.722351
보아(BoA),보아(BoA),,12,0.183104,0.220218,2178.509904
ShariShort,ShariShort,,14,0.134475,0.152213,0
ZaraLarsson,ZaraLarsson,,11,0.1916,0.220151,0
LDNNoise,LDNNoise,,13,0.182824,0.230226,888.928658
G-DRAGON,G-DRAGON,,17,0.092151,0.09896,0
ArianaGrande,ArianaGrande,,14,0.119036,0.139235,0
이상순,이상순,,3,0.571429,0.666667,0.6
PEEJAY,PEEJAY,,2,0.6,0.666667,0
