Id,Label,timeset,Weighted Degree,eigencentrality
FAB,FAB,,0.162962,0.028671
비비,비비,,0.016219,0.017488
SonnyJMason,SonnyJMason,,0.034625,0.053933
Musikality,Musikality,,0.036141,0.084784
JustinTranter,JustinTranter,,0.06518,0.138386
이민수,이민수,,0.247851,0.10989
AnthonyRusso,AnthonyRusso,,0.006474,0.018329
Czaer,Czaer,,0.017688,0.075587
Naiv,Naiv,,0.03815,0.138386
Avenue52,Avenue52,,0.005595,0.209592
ShaunKim,ShaunKim,,0.014301,0.088821
DemJointz,DemJointz,,0.110745,0.127514
화이트99,화이트99,,0.033361,0.021644
TimDeal,TimDeal,,0.002914,0.046887
Caesar&Loui,Caesar&Loui,,0.085775,0.045591
AndyLove,AndyLove,,0.034197,0.138386
이종필,이종필,,0.004255,0.003154
iKON,iKON,,0.063568,0.015248
김민기,김민기,,0.091947,0.027209
Nthonius,Nthonius,,0.174584,0.038872
AlexejViktorovitch,AlexejViktorovitch,,0.009049,0.034368
코스믹사운드,코스믹사운드,,0.031597,0.026796
JERRYL,JERRYL,,0.001786,0.036846
제니,제니,,0.185779,0.033287
다비,다비,,0.03815,0.138386
오승은,오승은,,0.112024,0.138386
j-hope,j-hope,,0.223256,0.064554
강창모,강창모,,0.592544,0.168484
AKMU(악뮤),AKMU(악뮤),,0.090376,0.038381
JamesF.Reynolds,JamesF.Reynolds,,0.025421,0.07358
DEEZ,DEEZ,,0.04583,0.135707
CameronWarren,CameronWarren,,0.011318,0.036846
LeahHaywood,LeahHaywood,,0.185779,0.033287
LaurenAquilina,LaurenAquilina,,0.015192,0.01251
G-DRAGON,G-DRAGON,,0.154847,0.008244
Nmore,Nmore,,0.023021,0.044138
CourtneyJenaeStahl,CourtneyJenaeStahl,,0.007813,0.026937
케빈오빠,케빈오빠,,0.014746,0.010201
AlbiAlbertsson,AlbiAlbertsson,,0.028745,0.014219
이채규,이채규,,0.126568,0.10989
PhilipBentley,PhilipBentley,,0.009798,0.031013
이종훈,이종훈,,0.126568,0.10989
박슬기,박슬기,,0.013807,0.028671
Rodnae'Chikk'Bell,Rodnae'Chikk'Bell,,0.113035,0.104594
Coach&Sendo,Coach&Sendo,,0.019434,0.088821
HanifHitmanicSabzevari,HanifHitmanicSabzevari,,0.011901,0.01251
프로미스나인,프로미스나인,,0.357035,0.166213
KillDave,KillDave,,0.035169,0.088821
마마무(Mamamoo),마마무(Mamamoo),,1.24688,0.08705
WillemijnvanderNeut,WillemijnvanderNeut,,0.094033,0.031013
핑클(Fin.K.L),핑클(Fin.K.L),,0.011038,0.010567
JeL,JeL,,0.009049,0.034368
ShaunSmith,ShaunSmith,,0.011318,0.036846
KylerNiko,KylerNiko,,0.152681,0.11284
이현승,이현승,,0.025771,0.023353
한희준,한희준,,0.001786,0.036846
한,한,,0.005762,0.005448
RockyMorris,RockyMorris,,0.000305,0.07358
BobiiLewis,BobiiLewis,,0.034625,0.053933
Jay-Keyz,Jay-Keyz,,0.054237,0.009294
StrayKids(스트레이키즈),StrayKids(스트레이키즈),,0.023049,0.012998
바닐라맨,바닐라맨,,0.017908,0.005156
강승윤,강승윤,,0.088662,0.007941
이아일,이아일,,0.012836,0.046887
원더키드,원더키드,,0.119702,0.10989
유주,유주,,0.062404,0.04979
싹쓰리(유두래곤,싹쓰리(유두래곤,,0.435609,0.040529
이의광,이의광,,0.020694,0.007613
AlexBilowitz,AlexBilowitz,,0.134655,0.064554
Ollipop,Ollipop,,0.022159,0.138386
문킴,문킴,,0.024978,0.030309
J.Y.Park'TheAsiansoul',J.Y.Park'TheAsiansoul',,0.39116,0.194348
Vernon,Vernon,,0.04481,0.032389
earattack,earattack,,0.097931,0.046205
보란,보란,,0.039099,0.0092
LDNNoise,LDNNoise,,0.080067,0.104594
화사(HwaSa),화사(HwaSa),,0.459672,0.079431
AlexandruCotoiFlorin,AlexandruCotoiFlorin,,0.013704,0.053933
이상이,이상이,,0.592544,0.168484
이지훈,이지훈,,0.001835,0.00335
JacobChatelain,JacobChatelain,,0.113115,0.10989
창빈,창빈,,0.005762,0.005448
SWEETCH,SWEETCH,,0.013402,0.014566
Moonshine,Moonshine,,0.044272,0.120467
AndreasOberg,AndreasOberg,,0.012955,0.006039
MatthewTishler,MatthewTishler,,0.009798,0.031013
IZ*ONE(아이즈원),IZ*ONE(아이즈원),,1.592297,0.147158
BXN,BXN,,0.018743,0.095298
은하,은하,,0.062404,0.04979
TEDDY,TEDDY,,1.116162,0.054412
솔라(마마무),솔라(마마무),,0.005519,0.003154
김인형,김인형,,0.04481,0.032389
Anchor,Anchor,,0.018766,0.011749
CL,CL,,0.010046,0.004867
ScottRussellStoddart,ScottRussellStoddart,,0.12491,0.071206
no2zcat,no2zcat,,0.012836,0.046887
PDOGG,PDOGG,,0.332938,0.064554
ShaunLopez,ShaunLopez,,0.176525,0.088821
송성경,송성경,,0.94807,0.207774
신예찬,신예찬,,0.020694,0.007613
우태운,우태운,,0.033361,0.021644
DawnElektra,DawnElektra,,0.046456,0.069198
EllenBerg,EllenBerg,,0.017392,0.046205
이찬혁,이찬혁,,0.203613,0.125263
JazelleParis,JazelleParis,,0.091358,0.015441
여자친구(GFRIEND),여자친구(GFRIEND),,0.979549,0.305737
KristinCarpenter,KristinCarpenter,,0.022956,0.015586
이해솔,이해솔,,0.444679,0.221286
KarenPoole,KarenPoole,,0.034625,0.053933
B1A4,B1A4,,0.024655,0.015119
환불원정대,환불원정대,,0.417214,0.139856
DelaneyJane,DelaneyJane,,0.00699,0.009294
MelanieFontana,MelanieFontana,,0.555359,0.350873
Kobee,Kobee,,0.097931,0.046205
GinoBarletta,GinoBarletta,,0.016219,0.017488
StephanBenson,StephanBenson,,0.008644,0.046887
이상호,이상호,,0.052848,0.018009
ThaAristocrats,ThaAristocrats,,0.022063,0.013848
DavidStewart,DavidStewart,,0.196381,0.064554
정호현,정호현,,0.019566,0.028671
우주소녀,우주소녀,,0.079105,0.039755
R.Tee,R.Tee,,0.804658,0.041545
Poptime,Poptime,,0.231295,0.010551
소녀시대(GIRLS'GENERATION),소녀시대(GIRLS'GENERATION),,0.12925,0.072861
장우영,장우영,,0.034639,0.005448
정일훈,정일훈,,0.011318,0.036846
ZaraLarsson,ZaraLarsson,,0.06518,0.138386
유건형,유건형,,0.184676,0.014373
JuliaMichaels,JuliaMichaels,,0.06518,0.138386
FRANTS,FRANTS,,0.253481,0.070345
아이유,아이유,,4.739952,0.763365
마부스,마부스,,0.189876,0.00797
dwilly,dwilly,,0.057358,0.046887
EXO,EXO,,0.156389,0.050136
비스트,비스트,,0.01847,0.102599
Sonny,Sonny,,0.012714,0.006248
danke,danke,,0.119702,0.10989
SEION,SEION,,0.090066,0.007309
엄지,엄지,,0.062404,0.04979
DanielKim,DanielKim,,0.046456,0.069198
라도,라도,,0.781376,0.419487
AFSHEEN,AFSHEEN,,0.025351,0.014833
MGR,MGR,,0.013487,0.018009
안예은,안예은,,0.005506,0.005812
강욱진,강욱진,,0.087434,0.007941
황인규,황인규,,0.008844,0.010551
LIL27CLUB,LIL27CLUB,,0.001496,0.012331
HayleyKiyoko,HayleyKiyoko,,0.011318,0.088821
BLACKPINK,BLACKPINK,,4.13651,0.168167
N!ko,N!ko,,0.156589,0.10989
브라더수,브라더수,,0.058114,0.077136
Baauer,Baauer,,0.005023,0.003154
던,던,,0.050667,0.007607
Engeline,Engeline,,0.025421,0.07358
