Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
moocean,moocean,,8,0.230935,0.258111,0
Mantra,Mantra,,8,0.203939,0.227971,0
빈첸(VINXEN),빈첸(VINXEN),,1,1,1,0
나플라(nafla),나플라(nafla),,7,0.220467,0.241782,639
황세현(h3hyeon),황세현(h3hyeon),,9,0.203422,0.242672,739.698471
Deanfluenza,Deanfluenza,,8,0.194075,0.211055,0
Louie,Louie,,8,0.195732,0.216429,0
서태지,서태지,,8,0.207364,0.22582,0
Baggie,Baggie,,10,0.175794,0.194232,10.292859
Stally,Stally,,8,0.225105,0.248839,112.921652
민켄,민켄,,2,0.75,0.833333,0.5
rubyboyyisthegenius,rubyboyyisthegenius,,8,0.203939,0.227971,0
제시(Jessi),제시(Jessi),,9,0.18301,0.221646,3516.014107
Chin(친),Chin(친),,9,0.164784,0.18176,79.25
Kidstone,Kidstone,,8,0.195732,0.216429,0
D-Hack,D-Hack,,10,0.16877,0.184832,138.696782
YoBoy,YoBoy,,8,0.19431,0.21357,0.166667
김승민(KimSeungmin),김승민(KimSeungmin),,9,0.20138,0.222277,227.940411
박재범(JayPark),박재범(JayPark),,7,0.276724,0.321822,2314.495893
유건형,유건형,,9,0.18406,0.212944,1121.517466
BE'O(비오),BE'O(비오),,7,0.255981,0.312951,4068.409788
린다G(LindaG),린다G(LindaG),,7,0.233624,0.266088,642.230111
리시,리시,,2,0.75,0.833333,0.5
DonMills,DonMills,,8,0.251567,0.285236,90.307168
Muddthestudent,Muddthestudent,,8,0.203422,0.223739,0
Lean$moke,Lean$moke,,8,0.195732,0.216429,0
ROCKITPRODUCTIONS,ROCKITPRODUCTIONS,,2,0.571429,0.625,0
Untell(언텔),Untell(언텔),,9,0.215726,0.241422,158
7Aurelius,7Aurelius,,1,1,1,0
래원(Layone),래원(Layone),,7,0.242814,0.281894,1422.333546
WoodieGochild(우디고차일드),WoodieGochild(우디고차일드),,7,0.22766,0.24951,7.034857
youngkimj,youngkimj,,10,0.169304,0.189197,0
JAMIE,JAMIE,,8,0.235337,0.264293,438.25849
DAX,DAX,,6,0.29235,0.358619,3869.66842
SMHOfSMGS,SMHOfSMGS,,8,0.206033,0.224548,0
Bobblehead,Bobblehead,,10,0.154773,0.172467,0
IOAH,IOAH,,8,0.225421,0.249937,0
sokodomo,sokodomo,,10,0.191527,0.210068,0
Chin,Chin,,8,0.196933,0.225516,1583
Choo(추),Choo(추),,9,0.202396,0.234364,223.064349
KidMilli,KidMilli,,8,0.225738,0.252974,1291.935528
BMTJ,BMTJ,,8,0.199132,0.216526,0
nomad,nomad,,2,0.555556,0.6,1.5
PandaGomm,PandaGomm,,8,0.207364,0.22582,0
JWay,JWay,,8,0.193373,0.21173,18.35054
MoonSujin,MoonSujin,,8,0.206564,0.224203,0
딥플로우(Deepflow),딥플로우(Deepflow),,7,0.225421,0.256334,83.324713
스카이민혁(Skyminhyuk),스카이민혁(Skyminhyuk),,9,0.229286,0.257983,41.448653
stevenc4stle,stevenc4stle,,2,0.666667,0.75,0
Esta,Esta,,8,0.194075,0.211055,0
BIBI,BIBI,,2,0.666667,0.75,0
릴러말즈(Leellamarz),릴러말즈(Leellamarz),,8,0.216307,0.245442,1341.257686
디핵(D-Hack),디핵(D-Hack),,10,0.159384,0.174922,331.15991
KETAMcCUE,KETAMcCUE,,8,0.194545,0.212465,0
Clayheart,Clayheart,,8,0.195493,0.213807,0
JAEHA,JAEHA,,8,0.208442,0.234153,187.522667
noisemasterminsu,noisemasterminsu,,6,0.262684,0.298546,1035.573024
KOONTA,KOONTA,,8,0.200625,0.216811,0
브라더수,브라더수,,8,0.194075,0.211055,0
로코,로코,,8,0.247304,0.282714,236.282612
김진표(JP),김진표(JP),,10,0.155674,0.172887,0.25
김효은(Keemhyoeun),김효은(Keemhyoeun),,8,0.199379,0.213666,0
저스디스(JUSTHIS),저스디스(JUSTHIS),,7,0.280105,0.330166,3914.966745
i,i,,3,0.5,0.533333,0
박현진(PARKHYEONJIN),박현진(PARKHYEONJIN),,7,0.221074,0.247738,89.945723
QUIZQUIZ,QUIZQUIZ,,10,0.156128,0.166972,0
Sik-K,Sik-K,,7,0.238839,0.266177,559.504611
AiRPLAY,AiRPLAY,,10,0.151415,0.165932,0
넉살(Nucksal),넉살(Nucksal),,7,0.249611,0.288852,234.923793
리쌍(LEESSANG),리쌍(LEESSANG),,9,0.178333,0.20012,1274
강서빈(YUNGCHENS),강서빈(YUNGCHENS),,9,0.189046,0.206584,12.927269
지코(ZICO),지코(ZICO),,1,1,1,1
싸이(PSY),싸이(PSY),,10,0.155977,0.177041,639.25
BonnieBramlett,BonnieBramlett,,10,0.151415,0.163158,0
Heondred,Heondred,,8,0.225105,0.248839,112.921652
DONNA,DONNA,,10,0.154773,0.172467,0
DAVII,DAVII,,8,0.194075,0.211055,0
Poptime,Poptime,,2,0.666667,0.75,0
pH-1(피에이치원),pH-1(피에이치원),,7,0.288151,0.337302,5034.161179
VerbalJint,VerbalJint,,2,0.75,0.833333,0.5
ASHISLAND,ASHISLAND,,8,0.248068,0.282747,1635.867104
THAMA,THAMA,,8,0.266611,0.304321,852.088938
똘아이박,똘아이박,,8,0.231268,0.260188,106
TouchtheSky,TouchtheSky,,8,0.192216,0.209728,0.25
이해리(다비치),이해리(다비치),,2,0.75,0.833333,0.5
Ontheroad,Ontheroad,,2,0.555556,0.6,1.5
Off,Off,,8,0.225421,0.249937,0
606gus,606gus,,10,0.183638,0.198159,0
송민영(KidM),송민영(KidM),,7,0.235683,0.260043,116.646073
BewhY,BewhY,,10,0.178333,0.199807,323
가오가이(kaogaii),가오가이(kaogaii),,9,0.215726,0.241422,158
박인영,박인영,,8,0.207364,0.22582,0
IMEANSEOUL,IMEANSEOUL,,8,0.248837,0.277552,69.345859
스윙스(Swings),스윙스(Swings),,7,0.244665,0.279054,292.682395
unofficialboyy(언오피셜보이),unofficialboyy(언오피셜보이),,7,0.239195,0.271191,222.875699
키드밀리(KidMilli),키드밀리(KidMilli),,7,0.240269,0.278156,392.890642
최지호,최지호,,2,0.75,0.833333,0.5
프리스타일(FreeStyle),프리스타일(FreeStyle),,1,1,1,0
ChillinHomie,ChillinHomie,,10,0.156128,0.166972,0
HANYOHAN,HANYOHAN,,8,0.225105,0.248839,112.921652
레이나(Raina),레이나(Raina),,3,0.47619,0.616667,3
안성현,안성현,,1,1,1,0
TREVOR,TREVOR,,8,0.214286,0.249696,83.010967
MINO,MINO,,8,0.215726,0.254888,1663.010967
J;KEY,J;KEY,,11,0.137532,0.146795,0
JayPark,JayPark,,7,0.267055,0.312854,2264.457772
LeeYoung-ji,LeeYoung-ji,,8,0.198393,0.221388,75.05343
에픽하이(EPIKHIGH),에픽하이(EPIKHIGH),,7,0.241353,0.279135,1736.957134
우원재(WooWonjae),우원재(WooWonjae),,7,0.236377,0.26252,0
HyukShin,HyukShin,,8,0.194075,0.211055,0
박준우,박준우,,8,0.226056,0.2613,106.741543
Acade,Acade,,2,0.666667,0.75,0
YerinBaek,YerinBaek,,8,0.223849,0.244407,0
이성경(Leesungkyung),이성경(Leesungkyung),,7,0.223849,0.248517,35.468894
27corazones,27corazones,,8,0.195732,0.216429,0
Kleine,Kleine,,8,0.206033,0.224548,0
아우릴고트(OUREALGOAT),아우릴고트(OUREALGOAT),,7,0.247304,0.27978,123.966949
Nucksal,Nucksal,,8,0.251567,0.285236,90.307168
GooseBumps,GooseBumps,,8,0.249224,0.279628,193.646781
지구인(Geegooin),지구인(Geegooin),,7,0.239195,0.271191,222.875699
GroovyRoom,GroovyRoom,,6,0.29235,0.340395,5517.682901
SanE(산이),SanE(산이),,2,0.909091,0.95,38
팔로알토(Paloalto),팔로알토(Paloalto),,7,0.242447,0.283764,879.43221
Noheul,Noheul,,8,0.231268,0.260188,106
GEMINI,GEMINI,,8,0.210907,0.230344,11.713709
플루마(PLUMA),플루마(PLUMA),,7,0.221074,0.247738,89.945723
antisocialkid,antisocialkid,,10,0.169483,0.191274,0.25
수퍼비(SUPERBEE),수퍼비(SUPERBEE),,9,0.164784,0.18176,79.25
코스믹사운드,코스믹사운드,,2,0.555556,0.6,1.5
PHILL,PHILL,,10,0.154773,0.172467,0
D.Ark(디아크),D.Ark(디아크),,9,0.212865,0.246296,2998.218238
DPRLIVE(디피알라이브),DPRLIVE(디피알라이브),,7,0.233285,0.264011,639
Theevoni,Theevoni,,10,0.169483,0.191274,0.25
GIRIBOY,GIRIBOY,,8,0.247685,0.284464,432.577131
허성현(Huh),허성현(Huh),,9,0.215726,0.241422,158
sogumm,sogumm,,8,0.195493,0.213807,0
이영지(LeeYoung-ji),이영지(LeeYoung-ji),,8,0.212865,0.239189,706.777783
devita,devita,,8,0.189492,0.205952,0
SanE,SanE,,2,0.555556,0.6,1.5
CHANGMO,CHANGMO,,8,0.232609,0.265246,2005.123717
KhundiPanda(쿤디판다),KhundiPanda(쿤디판다),,7,0.229943,0.254443,60.794011
365LIT(365릿),365LIT(365릿),,7,0.235683,0.260043,116.646073
Minit,Minit,,8,0.262255,0.288581,624.141594
0set,0set,,10,0.180337,0.193214,0
willy,willy,,8,0.203939,0.227971,0
에이체스(A-Chess),에이체스(A-Chess),,9,0.224476,0.251575,32.396936
조광일(GwangilJo),조광일(GwangilJo),,7,0.261401,0.299674,817.808061
DelaneyBramlett,DelaneyBramlett,,10,0.151415,0.163158,0
FLIP_00,FLIP_00,,8,0.248837,0.277552,69.345859
JUSTHIS,JUSTHIS,,6,0.281579,0.324299,3393.597646
염따(YUMDDA),염따(YUMDDA),,7,0.246166,0.284958,1644.622735
Perro,Perro,,8,0.203939,0.227971,0
한해(HANHAE),한해(HANHAE),,2,0.75,0.833333,0.5
B.I,B.I,,2,0.666667,0.75,0
Loco,Loco,,7,0.273891,0.314152,1019.704677
PATEKO,PATEKO,,9,0.189046,0.210111,555.84889
정인,정인,,8,0.200625,0.216811,0
김태훈,김태훈,,11,0.134987,0.14696,0
Tabber(태버),Tabber(태버),,7,0.247304,0.27978,123.966949
DK,DK,,8,0.194075,0.211055,0
Big$hot,Big$hot,,3,0.5,0.533333,0
CK,CK,,8,0.195732,0.216429,0
Jetti,Jetti,,8,0.223849,0.244407,0
원슈타인(Wonstein),원슈타인(Wonstein),,9,0.234993,0.272781,602.11945
DJ투컷,DJ투컷,,8,0.194545,0.212465,0
Catchup,Catchup,,8,0.207364,0.22582,0
TOIL(토일),TOIL(토일),,7,0.236726,0.266274,521.77078
WOOGIE,WOOGIE,,8,0.181767,0.201461,2
Muddthestudent(머드더스튜던트),Muddthestudent(머드더스튜던트),,7,0.255167,0.300504,1752.53055
SOLE,SOLE,,6,0.253555,0.295639,736.730116
창모(CHANGMO),창모(CHANGMO),,7,0.261401,0.303301,3119.353109
MC스나이퍼(MCSniper),MC스나이퍼(MCSniper),,1,1,1,1
BIGNaughty,BIGNaughty,,8,0.249611,0.279851,507.944774
Khakii(카키),Khakii(카키),,7,0.259709,0.298702,1137.407987
PATEKO(파테코),PATEKO(파테코),,9,0.202396,0.227791,756.80063
VENKO,VENKO,,8,0.19766,0.215046,0
obiegogle(오비고글),obiegogle(오비고글),,9,0.202396,0.234364,223.064349
DEREK,DEREK,,10,0.167887,0.181107,0.25
노윤하(RohYoonha),노윤하(RohYoonha),,7,0.24063,0.276903,443.832727
HuckleberryP,HuckleberryP,,8,0.225738,0.25774,96.089035
권세영,권세영,,10,0.171842,0.185692,0
송기홍,송기홍,,2,0.75,0.833333,0.5
BLOO,BLOO,,2,0.571429,0.625,0
BE'O,BE'O,,8,0.203939,0.227971,0
H4RDY,H4RDY,,8,0.19766,0.215046,0
SoundKim,SoundKim,,8,0.199132,0.216526,0
Illjun,Illjun,,10,0.151415,0.165932,0
루피(Loopy),루피(Loopy),,7,0.240269,0.278156,392.890642
RohYoonha,RohYoonha,,8,0.19431,0.21357,0.166667
SkinnyBrown,SkinnyBrown,,8,0.213715,0.237428,486.250527
LeonRussell,LeonRussell,,10,0.151415,0.163158,0
머쉬베놈(MUSHVENOM),머쉬베놈(MUSHVENOM),,7,0.254358,0.288414,3919.208588
lIlBOI,lIlBOI,,8,0.222299,0.250501,14.319663
개코(GAEKO),개코(GAEKO),,7,0.269748,0.313588,970.635588
DPRLIVE,DPRLIVE,,8,0.189269,0.205174,0
Smob,Smob,,9,0.177938,0.192328,0
B.I(비아이),B.I(비아이),,1,1,1,1
다이나믹듀오(Dynamicduo),다이나믹듀오(Dynamicduo),,9,0.216016,0.244797,384.057765
김유정(KimYoujung),김유정(KimYoujung),,9,0.213715,0.237933,43.091137
JumalofSMGS,JumalofSMGS,,8,0.200625,0.216811,0
먼치맨(MUNCHMAN),먼치맨(MUNCHMAN),,7,0.229943,0.254443,60.794011
Diggy,Diggy,,10,0.151415,0.165932,0
키드킹(KiddKing),키드킹(KiddKing),,7,0.22766,0.24951,7.034857
영준(YOUNGJUN),영준(YOUNGJUN),,2,0.75,0.833333,0.5
ganguk,ganguk,,8,0.221685,0.247645,0
WayChed,WayChed,,8,0.201633,0.224859,334.57326
로꼬(Loco),로꼬(Loco),,7,0.3,0.371488,8437.070173
Zbeatz,Zbeatz,,8,0.203939,0.227971,0
DAUL,DAUL,,9,0.175602,0.189402,0
ZZINSOO,ZZINSOO,,3,0.5,0.533333,0
Heize,Heize,,8,0.258454,0.294396,1101.729465
커즈디,커즈디,,10,0.154773,0.172467,0
Noden,Noden,,8,0.199132,0.216526,0
한요한(HANYOHAN),한요한(HANYOHAN),,9,0.219863,0.246523,903.056495
매드클라운(MadClown),매드클라운(MadClown),,2,0.75,0.833333,0.5
지오,지오,,1,1,1,0
BewhY(비와이),BewhY(비와이),,11,0.151415,0.163105,0
