Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
김C,김C,,3,0.545455,0.638889,1.5
달총,달총,,6,0.27619,0.322414,0
순순희(SOONSOONHEE),순순희(SOONSOONHEE),,1,1,1,3
BLANCC,BLANCC,,2,0.571429,0.625,0
런치,런치,,5,0.351852,0.431579,3.75
보라미유(BORAMIYU),보라미유(BORAMIYU),,3,0.392857,0.439394,0
박종득,박종득,,6,0.291139,0.352899,0
유현진,유현진,,2,0.6,0.666667,0
SweetPumpkin,SweetPumpkin,,4,0.34375,0.409091,0
고범준,고범준,,2,0.666667,0.75,6.5
Egg2,Egg2,,2,0.545455,0.583333,0
J.Litz,J.Litz,,5,0.339286,0.396491,0
StandingEgg,StandingEgg,,2,0.545455,0.583333,0
추대관,추대관,,8,0.252174,0.310386,0
이아일,이아일,,4,0.353846,0.40942,0
10CM(십센치),10CM(십센치),,3,0.534884,0.695652,211
윤딴딴,윤딴딴,,2,0.571429,0.625,0
#안녕,#안녕,,3,0.631579,0.763889,47
조영수,조영수,,2,0.6,0.666667,0
김선민,김선민,,2,0.666667,0.75,0
이날치(LEENALCHI),이날치(LEENALCHI),,1,1,1,0
VIP,VIP,,1,1,1,0
강화성,강화성,,2,0.6,0.666667,0
오왠(O.WHEN),오왠(O.WHEN),,5,0.403509,0.557246,133
Sukiee,Sukiee,,2,0.666667,0.75,0
Egg1,Egg1,,2,0.545455,0.583333,0
이현정,이현정,,2,0.545455,0.583333,0
혁오(HYUKOH),혁오(HYUKOH),,1,1,1,3
Noise_bo2,Noise_bo2,,4,0.4,0.458333,0
뜨거운감자(HotPotato),뜨거운감자(HotPotato),,3,0.428571,0.5,0
김지용,김지용,,6,0.291139,0.352899,0
리트너,리트너,,4,0.461538,0.534722,6
ASHLEYALISHA,ASHLEYALISHA,,2,0.545455,0.583333,0
김도형,김도형,,3,0.5,0.530303,0
김홍준,김홍준,,7,0.263889,0.331203,0
적재,적재,,8,0.252174,0.310386,0
nineoff,nineoff,,2,0.571429,0.625,0
