Id,Label,timeset,Weighted Degree,eigencentrality
한희준,한희준,,0.059744,0.025203
이승윤,이승윤,,0,0
Egg3,Egg3,,0.112192,0.068042
김영철,김영철,,0.047404,0.015829
BLANCC,BLANCC,,0.006555,0.036834
T.PRETRO(타디스프로젝트舊),T.PRETRO(타디스프로젝트舊),,0.092782,0.307402
안예은(AHNYEEUN),안예은(AHNYEEUN),,0.005128,0.008445
CHEEZE(치즈),CHEEZE(치즈),,0.348493,0.466334
박민지,박민지,,0.231138,0.103321
10CM,10CM,,0.481535,0.280406
김홍준,김홍준,,0.009539,0.084538
주시크,주시크,,0.044017,0.271564
또라이박,또라이박,,0.012631,0.068612
문성욱,문성욱,,0.055045,0.061524
공기남(Airman),공기남(Airman),,0.006193,0.008445
NODAY,NODAY,,0.004535,0.280406
고요(GOYO),고요(GOYO),,0.003439,0.008445
장경준,장경준,,0.004651,0.17774
J.Litz,J.Litz,,0.052632,0.196598
안성현,안성현,,0.049451,0.356102
구름,구름,,0.063293,0.141449
이현정,이현정,,0.006092,0.068042
하현상,하현상,,0.000966,0.025203
적재,적재,,0.120346,0.136447
VAN.C,VAN.C,,0.326621,0.299167
로브,로브,,0.022318,0.068042
윤딴딴,윤딴딴,,0.13683,0.036834
스무살,스무살,,0.000697,0.033208
Clam,Clam,,0.000966,0.068042
장덕철(JANGDEOKCHEOL),장덕철(JANGDEOKCHEOL),,0.148157,0.175977
주시크(Joosiq),주시크(Joosiq),,0.07872,0.241767
순순희(SOONSOONHEE),순순희(SOONSOONHEE),,0.15399,0.044137
김도형,김도형,,0.21482,0.17774
에이치코드,에이치코드,,0.141598,0.025203
정준일,정준일,,0.107163,0.025203
오왠,오왠,,0.052012,0.137712
사이,사이,,0.000966,0.068042
빅가이로빈,빅가이로빈,,0.009539,0.084538
더필름,더필름,,0.043244,0.068186
최현석,최현석,,0.084911,0.211347
박기훈,박기훈,,0.049624,0.280406
매드클라운,매드클라운,,0.009261,0.025203
Sukiee,Sukiee,,0.021262,0.015829
잠골버스(잠자는골방의버스커들),잠골버스(잠자는골방의버스커들),,0.026518,0.008445
이아일,이아일,,0.004535,0.280406
공기남,공기남,,0.006193,0.008445
VIP,VIP,,0.027052,0.008445
nineoff,nineoff,,0.065855,0.036834
죠지(george),죠지(george),,0.231203,0.132936
O.YEON,O.YEON,,0.012472,0.156966
오안,오안,,0.05809,0.280406
강화성,강화성,,0.009693,0.025203
에이브,에이브,,0.002457,0.068612
전준,전준,,0.019279,0.025203
고범준,고범준,,0.138466,0.104388
보라미유(BORAMIYU),보라미유(BORAMIYU),,0.015483,0.06779
오왠(O.WHEN),오왠(O.WHEN),,0.263793,0.433698
유영현,유영현,,0.092494,0.17774
유현진,유현진,,0.019279,0.025203
김지수,김지수,,0.014081,0.057338
결(KYUL),결(KYUL),,0.000697,0.008445
Ye-Yo,Ye-Yo,,0.009261,0.025203
EggPlant,EggPlant,,0.000832,0.008445
KyumLYK,KyumLYK,,0.000561,0.036834
숀(SHAUN),숀(SHAUN),,0.143713,0.02608
LAGOON,LAGOON,,0.055045,0.061524
고요,고요,,0.003439,0.008445
윤결,윤결,,0.004651,0.17774
스트레이,스트레이,,0.058204,0.025203
런치,런치,,0.002197,0.299167
이윤혁,이윤혁,,0.289629,0.280406
낯선아이,낯선아이,,0.080808,0.057338
피아노맨(PIANOMAN),피아노맨(PIANOMAN),,0.054936,0.119158
노틸러스(nautilus),노틸러스(nautilus),,0.03767,0.267341
스트레이(TheStray),스트레이(TheStray),,0.174613,0.044137
GodieWatch,GodieWatch,,0.000832,0.068042
뜨거운감자(HotPotato),뜨거운감자(HotPotato),,0.048536,0.043791
최준영,최준영,,0.005144,0.159504
멜로망스(MeloMance),멜로망스(MeloMance),,0.432496,0.123778
안지영,안지영,,0.944309,0.057338
뎁트,뎁트,,0.000966,0.068042
하현상(HAHYUNSANG),하현상(HAHYUNSANG),,0.002898,0.044137
피아노맨,피아노맨,,0.080244,0.24102
ASHLEYALISHA,ASHLEYALISHA,,0.000966,0.068042
임재현(LimJaeHyun),임재현(LimJaeHyun),,0.173685,0.074398
문성욱(MoonSeongWook),문성욱(MoonSeongWook),,0.055045,0.057189
추대관,추대관,,0.084599,0.136447
양정승,양정승,,0.013386,0.015829
정지찬,정지찬,,0.026203,0.200852
원모어찬스(onemorechance),원모어찬스(onemorechance),,0.021637,0.064687
김기림,김기림,,0.005052,0.137712
정동원(JeongDongWon),정동원(JeongDongWon),,0.129731,0.212333
손박사,손박사,,0.081809,0.231736
Noise_bo2,Noise_bo2,,0.01905,0.12803
검정치마(TheBlackSkirts),검정치마(TheBlackSkirts),,0.037658,0.008445
마크툽(MAKTUB),마크툽(MAKTUB),,1.329006,0.320311
두번째별,두번째별,,0.087877,0.12803
리트너,리트너,,0.17643,0.196216
권혁호,권혁호,,0.049985,0.137712
FineFive,FineFive,,0.082232,0.280406
NikoBlank,NikoBlank,,0.000966,0.068042
KZ,KZ,,0.01905,0.12803
이라온,이라온,,0.413083,0.138424
줍에이(JoobA),줍에이(JoobA),,0.026219,0.074222
조영수,조영수,,0.019558,0.025203
이승윤(LeeSeung-yoon),이승윤(LeeSeung-yoon),,0,0
성수용,성수용,,0.286774,0.280406
스탠딩에그(StandingEgg),스탠딩에그(StandingEgg),,0.387006,0.167242
줍에이,줍에이,,0.006555,0.036834
오반(OVAN),오반(OVAN),,0.630549,0.670153
멜로망스,멜로망스,,0.139053,0.051744
스탠딩에그,스탠딩에그,,0.010189,0.06779
볼빨간사춘기(BOL4),볼빨간사춘기(BOL4),,2.062884,0.136293
정효빈(JeongHyoBean),정효빈(JeongHyoBean),,0.033761,0.251678
박종득,박종득,,0.049985,0.137712
이종혁,이종혁,,0.019938,0.044421
런치(LUNCH),런치(LUNCH),,0.144323,0.34957
죠지,죠지,,0.115746,0.04619
고석영,고석영,,0.000283,0.090287
SweetPumpkin,SweetPumpkin,,0.00703,0.054756
818,818,,0.000697,0.033208
HONEST,HONEST,,0.000561,0.036834
#안녕,#안녕,,0.43045,0.398211
프리든,프리든,,0.006555,0.036834
카더가든,카더가든,,0.069901,0.025203
하은(포맨),하은(포맨),,0.027052,0.008445
강봄,강봄,,0.013386,0.015829
결,결,,0.000697,0.008445
최상언,최상언,,0.009539,0.084538
