발매일,타이틀,아티스트,프로듀서,점수
nan,밥값 Freestyle (Feat. 과나),황지상 (HWANG JI SANG),nan,0.0422805
nan,병정이 되어,디핵(D-Hack),nan,0.1779445
nan,OMZ,래원 (Layone),nan,0.3019697
nan,DJANGO,루피(Loopy),nan,0.8965062
nan,Everything,ASH ISLAND,nan,0.7963641
nan,"당신께 LIVE (7/16, 춘천)",넉살(Nucksal),nan,0.0475275
nan,진검승부,래원 (Layone),nan,0.3019697
nan,SLOW STEADY,스카이민혁 (Skyminhyuk),nan,0.4294282
nan,Sound of Smoke,Paul Blanco,nan,0.0148242
nan,PRICELESS (Feat. 토이고),팔로알토 (Paloalto),nan,0.6850313
nan,SUN GOES DOWN (Prod. R.Tee),저스디스(JUSTHIS),nan,0.2916931
nan,24,BEATBOX DG,nan,0.0337383
nan,안녕.,정인,nan,0.01453
nan,Go Back,Jvcki Wai,nan,0.4603543
nan,가면무도회,비비(BIBI),nan,0.0155869
nan,와다다다,Tiger JK,nan,0.0223515
nan,Borderline,릴보이(lIlBOI),nan,2.2135012
nan,태워 (Feat. NSW Yoon),아넌딜라이트(Anandelight),nan,0.137731
nan,Number (Feat. BIG Naughty (서동현)),릴러말즈 (Leellamarz),nan,0.6727896
nan,유행 지난 춤,라비(RAVI),nan,0.0369355
nan,SURGEONS,스월비(Swervy),nan,0.0072354
nan,Rollin' (Prod. GroovyRoom),그루비룸 (GroovyRoom),nan,0.1997271
nan,배고파,황지상 (HWANG JI SANG),nan,0.0422805
2022.09.26~2022.10.02,Deja Vu (Prod. BIG Naughty (서동현)),"sokodomo(소코도모), 박재범(JayPark), MVP, BIG Naughty (서동현)","dress,sokodomo,JayPark,BIG Naughty",1.1839686999999999
2022.09.26~2022.10.02,추억성 (Feat.테이),디핵(D-Hack),"D-Hack,HOOSHI",0.32479800000000003
2022.09.26~2022.10.02,솔로몬,KOONTA (쿤타),"KOONTA,BC3000,제이시즌",0.294844
2022.09.26~2022.10.02,eMpTy,최엘비(CHOILB),"STOIC,CHOILB",0.0467809
2022.09.26~2022.10.02,금강,"DAVII,$aint",Cedar,0.0156448
2022.09.26~2022.10.02,안될 것도 되게 하래서 되게 했더니만 됐다고 하네,머쉬베놈(MUSHVENOM),"MUSHVENOM,No Identity",1.2333981
2022.09.26~2022.10.02,자격지심 (Feat. ZICO),BE'O(비오),"OBSN,willy,BE'O,ZICO",1.0994009
2022.09.26~2022.10.02,LOVE me Remix (Feat. ASH ISLAND),BE'O(비오),"TOIL,BE'O,ASHISLAND",2.6611939
2022.09.26~2022.10.02,"Brunch (Feat. 원슈타인, 시온)",BE'O(비오),"OBSN,chillingcat,BE'O,Wonstein,Sion",0.9347396
2022.09.26~2022.10.02,"BBI YONG (Feat. 로꼬, GRAY)",BE'O(비오),"GroovyRoom,Kwaca,BE'O,Loco,GRAY",3.2470013
2022.09.26~2022.10.02,JAN (feat. Wez Atlas),YunB(윤비),nan,0.0402772
2022.09.19~2022.09.25,한순간도,아우릴고트 (OUREALGOAT),"OUREALGOAT,BADTREE,Hwayo,Theevoni",0.06813949999999999
2022.09.19~2022.09.25,무덤 위에 소주를 부어줘,호미들(Homies),"Chin,Theevoni,Lean$moke",2.0473535
2022.09.19~2022.09.25,"Porsche (Feat. Owen, Loopy)",Chillin Homie,"Chillin Homie,Owen,Loopy",0.5287449
2022.09.19~2022.09.25,국민체조 (Prod. Czaer),sokodomo,"Czaer,Haechi,MarkAlong,Stephen LEE,sokodomo",0.0307485
2022.09.19~2022.09.25,TTFU,"사이먼도미닉(SimonDominic), 로꼬(Loco), 우원재(WooWonjae), 쿠기(Coogie)","SimonDominic,Loco,WooWonjae,Coogie,SOMDEF,flexindoor,Sojeso",2.6708770999999993
2022.09.12~2022.09.18,Wanna Know (Feat. MASON HOME),Vapo (허원혁),"Vapo,MASON HOMe,Matt",0.0049395
2022.09.12~2022.09.18,ZOMBIES,pH-1(피에이치원),"SMMT,pH-1,BRLLNT",2.1865822
2022.09.12~2022.09.18,KISS YOU,라비(RAVI),"RAVI,Mich Hansen,Rasmus Gregersen,Navvy,Madi Yanofsky",0.0461695
2022.09.05~2022.09.11,Freedom (Feat. 오왼 (Owen)),bayb,"bayb,Owen",0.0306775
2022.09.05~2022.09.11,City Lights (Feat. Hash Swan),릴러말즈(Leellamarz),"TOIL,Leellamarz",2.2124359
2022.09.05~2022.09.11,THIS Is My Life,저스디스(JUSTHIS),"김태산,JUSTHIS",0.9853597999999999
2022.09.05~2022.09.11,Showered,DAVII,"DAVII,9room,LT",0.0156448
2022.09.05~2022.09.11,새삥 (Prod. ZICO) (Feat. 호미들),지코(ZICO),"ZICO,Poptime",1.7091825999999999
2022.09.05~2022.09.11,LAW (Prod. Czaer),"윤미래, 비비(BIBI)","Czaer,Advanced,RYS",0.040051699999999996
