발매일,타이틀,아티스트,프로듀서,점수
nan,Virus,VICTON(빅톤),nan,0.009068
nan,Selfish,유아 (오마이걸),nan,0.2046449
nan,나에게로 떠나는 여행,정은지,nan,0.176553
nan,"쉼(,)",문별 (마마무),nan,0.040987
nan,"Fire to the Fuse (Feat. Jackson Wang, 88rising)  Official Empyrean Music Theme",League of Legends,nan,0.0365341
nan,Alone,하이라이트(Highlight),nan,0.0561865
nan,Life is beautiful,AB6IX (에이비식스),nan,0.0646642
nan,Loveable,조유리,nan,0.097747
nan,Queen of Hearts,IVE (아이브),nan,0.030385
nan,ELEVEN -Japanese version-,IVE (아이브),nan,0.030385
nan,DOMESTIC (팔각정),비,nan,0.1202775
nan,파노라마,이찬혁,nan,0.118319
nan,Nxde,(여자)아이들,nan,1.0306347
nan,Underwater,권은비,nan,0.0125121
nan,버릴걸 (ver. DISCO),문별 (마마무),nan,0.040987
nan,ILLELLA (일낼라),마마무(Mamamoo),nan,1.7136361
nan,CRAZY HAZY REMIX,양준일,nan,0.0129594
nan,Strawberry Smoothie,Daniel Kim,nan,0.0329762
nan,영웅,코요태,nan,0.0508943
nan,28 Reasons,슬기(SEULGI),nan,0.0019038
nan,Sugarcoat,AB6IX (에이비식스),nan,0.0646642
2022.09.26~2022.10.02,불이나,EXID,nan,0.0530196
2022.09.26~2022.10.02,다중인격,윤종신,nan,0.0142482
2022.09.26~2022.10.02,Magical Symphony,ADORA,nan,0.0046802
2022.09.19~2022.09.25,언젠가는,박봄 (Park Bom),nan,0.0038696
2022.09.19~2022.09.25,ELEVEN -Japanese version-,IVE (아이브),nan,0.030385
2022.09.12~2022.09.18,원하고 원망하죠,박봄 (Park Bom),nan,0.0038696
2022.09.12~2022.09.18,질주 (2 Baddies),NCT 127,"Aron Bergerwall,Louise Lindberg,Tony Ferrari,Parker James,Moa ""Cazzi Opeia"" Carlebecker,Ellen Berg,aron wyme,IMLAY",0.2865918
2022.09.12~2022.09.18,LOL (Laugh-Out-Loud),NCT 127,"Fabian Torsson,Harry Sommerdahl,Albin Nordqvist",0.2865918
2022.09.12~2022.09.18,Playback,NCT 127,"Oneye,Andreas ?berg,Johan Gustafsson",0.2865918
2022.09.12~2022.09.18,Tasty (?),NCT 127,"Teodor Herrg?rdh,Rebecca Sj?berg,Gustav Nilsson,Moa ""Cazzi Opeia"" Carlebecker,Ellen Berg",0.2865918
2022.09.12~2022.09.18,Shut Down,BLACKPINK,nan,3.8158416
2022.09.12~2022.09.18,Yeah Yeah Yeah,BLACKPINK,"KUSH,R.Tee,VVN,IDO",3.8158416
