발매일,타이틀,아티스트,프로듀서,점수
nan,향초,로키드 (Lokid),nan,0.021262
nan,Smile at Me,Kiik,nan,0.0003848
nan,은나무재가복지센터,이주형,nan,0.0040644
nan,Slow It Down,Kiik,nan,0.0003848
nan,DIAMOND,카더가든,nan,0.0647591
nan,이토록 아름다운 기억만 안고 사네,윤딴딴,nan,0.1409511
nan,"Hidden Star (Feat. 1ho, Coldin)",공기남,nan,0.0197716
nan,지금이 가장,짙은(Zitten),nan,0.001674
nan,덮어쓰기,오왠(O.WHEN),nan,0.2732158
nan,이 여름 Summer,소란(SORAN),nan,0.0027632
nan,Dinner With You,Kiik,nan,0.0003848
nan,어디로 가야,결(KYUL),nan,0.0003485
nan,Marigold,PL(피엘),nan,0.0011215
nan,Away From Here,Sonny Zero,nan,0.000483
nan,이별도 쉽게 못하고 (부제 : 사랑을 말할 수 없다),#안녕,nan,0.2836526
nan,Go On,Kiik,nan,0.0003848
nan,Blanche,데이먼스 이어(Damons year),nan,0.028919
nan,향기,빈첸,nan,0.0060634
nan,우리 다투게 돼도 이것만 기억해 줄래 눈을 맞추고 서로가 서로의 손잡아 주며 낮은 목소리와 예쁜 말투로 상처 주지 않게 노력을 하고 ,그리즐리 (Grizzly),nan,0.0027486
nan,괜찮아(Fine),소란(SORAN),nan,0.0027632
nan,I'll Be Fine With You,짙은(Zitten),nan,0.001674
nan,숲의 목소리 (Voice of the Forest),마크툽(MAKTUB),nan,0.9565334
nan,너를 부르는 바람 (A Pining Wind),마크툽(MAKTUB),nan,0.9565334
nan,연락하고 싶은 이 밤,이민혁,nan,0.0008228
2022.09.26~2022.10.02,LALALA (feat. YOUHA (유하)),그리즐리 (Grizzly),nan,0.0027486
2022.09.19~2022.09.25,우울함을 숨기고 만나야만,결(KYUL),결,0.0003485
2022.09.19~2022.09.25,바다가 들린다,박재우(BJW),"박재우,정인영",0.0016242
2022.09.19~2022.09.25,사랑할래,박재우(BJW),"박재우,박민주",0.0016242
2022.09.19~2022.09.25,기상청 (Areum),낯선아이(ODDCHILD),"낯선아이,문원우,홍창석",0.0819675
2022.09.19~2022.09.25,너를 부르는 바람 (A Pining Wind) (Piano Tapes),마크툽(MAKTUB),마크툽,0.9565334
2022.09.19~2022.09.25,Dear You,하현상(HAHYUNSANG),"김민,테일러",0.000483
2022.09.19~2022.09.25,농담,스탠딩 에그(Standing Egg),"Egg1,Egg2,Egg3,박준하",0.3441509
2022.09.19~2022.09.25,우리가 함께 걷는 길 (Feat. MODN),학선 (haksun0,"학선,MODN",0.1195188
2022.09.19~2022.09.25,제일 쓴 걸로 줘,고요(GOYO),고요,0.0017195
2022.09.12~2022.09.18,better now,오왠(O.WHEN),"오왠,조영몬",0.2732158
2022.09.12~2022.09.18,이 마음이 사랑일까,어쿠루브(Acourve),Noheul,0.0216122
2022.09.12~2022.09.18,달,스트레이(The Stray),"L.NDN,Jack",0.1015704
2022.09.12~2022.09.18,Baptized In Fire (불세례),검정치마(TheBlackSkirts),검정치마,0.0350878
2022.09.05~2022.09.11,"보고싶어, 집 앞이야",스무살(20YEARSOFAGE),"스무살,김솔",0.0027058
2022.09.05~2022.09.11,가을이 오려나봐요,고닥 (GODAK),"고닥,박태진,박기훈",0.0032644
2022.08.29~2022.09.04,츤데레,순순희(SOONSOONHEE),이래언,0.0024667
2022.08.29~2022.09.04,For You,숀 (SHAUN),"숀,RYS",0.1308773
2022.08.29~2022.09.04,나의 꽃 나의 그대,윤딴딴(YUNDDanDdan),"윤딴딴,권태훈",0.1409511
2022.08.29~2022.09.04,"우리, 여기",안예은(AHNYEEUN),"안예은,Strawberrybananaclub",0.0284545
2022.08.29~2022.09.04,내가 있었음 해 (Feat. PAVII) (Prod. Grabby),이주형,"이주형,PAVII,GRaBbY",0.0040644
2022.08.29~2022.09.04,MERRY GO ROUND,그리즐리 (Grizzly),"그리즐리,크래커,no2zcat,SLAY",0.0027486
2022.08.15~2022.08.21,무중력,스트레이(The Stray),nan,0.1015704
2022.08.08~2022.08.14,꿈자리 (Feat. Mabinc),공기남(Airman),공기남,0.0197716
2022.08.08~2022.08.14,망해 간다니까,오반(OVAN),"오반,VAN.C",0.5048005
2022.08.08~2022.08.14,세레머니 (Ceremony),옥상달빛,"Sejin,우재",0.0015396
2022.08.08~2022.08.14,언제든 어디라도,죠지(george),"archie,죠지",0.1336701
2022.08.08~2022.08.14,ttm(thinktoomuch) (Feat. BIG Naughty),죠지(george),"archie,죠지,BIG Naughty",0.1336701
2022.08.08~2022.08.14,i'm so tired.. (Feat. THAMA),죠지(george),"archie,죠지,THAMA",0.1336701
2022.08.01~2022.08.07,어린양,검정치마(TheBlackSkirts),검정치마,0.0350878
2022.07.25~2022.07.31,가식,경제환(Jehwwn),경제환,0.0023675
2022.07.25~2022.07.31,Road,숀 (SHAUN),숀,0.1308773
2022.07.25~2022.07.31,Cookie,"그_냥(J_ust), 민서 (MINSEO)","그_냥,정수민",0.0037014
2022.07.18~2022.07.24,DELIGHT,PL(피엘),"PL,a.feel",0.0011215
2022.07.18~2022.07.24,다시 만나볼래,런치(LUNCH),"런치,안성현,주시크,CSP",0.0078827
2022.07.18~2022.07.24,See you again,소수빈(SoSooBin),소수빈,0.0007462
2022.07.18~2022.07.24,그만 미워할래,WH3N(웬),"WH3N,임기범",0.0107925
2022.07.18~2022.07.24,쥐 (RATvolution),안예은(AHNYEEUN),"Strawberrybananaclub,안예은",0.0284545
2022.07.18~2022.07.24,여름의 중심에서,마인드유(MINDU),고닥,0.0004215
2022.07.11~2022.07.17,우리가 있어,스탠딩 에그(Standing Egg),"Egg1,Egg2,Egg3,박준하",0.3441509
2022.07.11~2022.07.17,하늘,크루셜스타 (CRUCiALSTAR),"크루셜스타,GC",0.0029756
2022.07.04~2022.07.10,LOOK AT YOU!,잔나비,nan,0.2007901
2022.07.04~2022.07.10,비가 오면 (Feat. 유연),로키드 (Lokid),nan,0.021262
2022.06.27~2022.07.03,그라데이션,10CM(십센치),"10CM,이요한,성수용,이윤혁,방인재,고영배",1.5002793
2022.06.27~2022.07.03,바달?? (OceanooM Duet) (Feat.정영은),마크툽(MAKTUB),마크툽,0.9565334
2022.06.27~2022.07.03,aya,오왠(O.WHEN),"오왠,조영몬",0.2732158
2022.06.27~2022.07.03,Check List,바닐라 어쿠스틱(Vanilla Acoustic),"바닐라맨,Scott B",0.0064771
2022.06.27~2022.07.03,여름밤,짙은(Zitten),"짙은,Polter,윤형로",0.001674
2022.06.27~2022.07.03,그래볼게,빌리어코스티(Bily Acoustie),"빌리어코스티,박종득,권혁호",0.0503894
2022.06.20~2022.06.26,백유화,"안예은(AHNYEEUN), 우예린(Woo Yerin)","안예은,우예린,Strawberry Banana Club",0.0284545
2022.06.20~2022.06.26,Fisherman (feat. siso),크루셜스타 (CRUCiALSTAR),"크루셜스타,HYESUNG",0.0029756
2022.06.20~2022.06.26,All My Friends Kill Me,결(KYUL),결,0.0003485
2022.06.20~2022.06.26,그녀는 자꾸 슬퍼,주시크 (Joosiq),"임수,VAN.C",0.0583935
2022.06.20~2022.06.26,HOW TO SAY (feat. 다운 (Dvwn)),basecamp,"basecamp,다운",0.0326825
2022.06.20~2022.06.26,SKY CITY,PL(피엘),"PL,a.feel",0.0011215
2022.06.13~2022.06.19,너에게 (Feat. 이현영),준,nan,0.0028238
2022.06.13~2022.06.19,Rain Drop,고요,nan,0.0017195
2022.06.06~2022.06.12,나는 어떡해,스탠딩 에그(Standing Egg),"Egg1,Egg2,Egg3,박준하",0.3441509
2022.06.06~2022.06.12,품 (Embracing),스트레이(The Stray),"L.NDN,Jack",0.1015704
2022.06.06~2022.06.12,다시 사랑할 수 있을까,"정준일(JungJoonIl), 선예","강민국,임현지,정준일,박인영",0.0970552
2022.06.06~2022.06.12,해요 (2022),#안녕,"박광현,임정규,Noise_bo2",0.2836526
2022.06.06~2022.06.12,"프리해 (Feat. OLNL, 지샤넬, EXN, 경제환, 황세현, 쿼카, 김미정)",크루셜스타 (CRUCiALSTAR),"크루셜스타,지샤넬,On Fleek,Gun,Kiburanko",0.0029756
2022.06.06~2022.06.12,흑백 라디오,준(j),"j,박호명",0.0028238
2022.05.30~2022.06.05,바달??,마크툽(MAKTUB),마크툽,0.9565334
2022.05.30~2022.06.05,lost,다운 (Dvwn),다운,0.004497
2022.05.30~2022.06.05,단꿈,마인드유(MINDU),"람다,전민,임수혁",0.0004215
2022.05.30~2022.06.05,Rushlight,김한주 (Kim Hanjoo),"다대노리,Jay Cuff",0.0025143
2022.05.30~2022.06.05,넌 나의 우주,스무살(20YEARSOFAGE),"스무살,김솔",0.0027058
2022.05.30~2022.06.05,MAGIC,하현상(HAHYUNSANG),"하현상,손우",0.000483
2022.05.30~2022.06.05,네 손을 잡고 싶어 (Feat. 강원우 Of 일로와이로),박문치 (PARKMOONCHI),박문치,0.0403381
2022.05.23~2022.05.29,But (Feat. Dive),찬현 (CHANHYUN),"Dive,찬현,Kobee,Holy M",0.0020634
2022.05.23~2022.05.29,평범한 엔딩 (옥상달빛 X LH 한국토지주택공사),옥상달빛,"우재,이재성,Sejin",0.0015396
2022.05.23~2022.05.29,그저 그런 이별 노래 (with 윤딴딴 of 2016),윤딴딴(YUNDDanDdan),윤딴딴,0.1409511
2022.05.23~2022.05.29,지금 난,오반(OVAN),"오반,VAN.C",0.5048005
2022.05.23~2022.05.29,달콤씁쓸한,에피톤 프로젝트(Epitone Project),에피톤 프로젝트,0.0054824
2022.05.16~2022.05.22,물 갈아주기 (Feat. 쿼카),크루셜스타 (CRUCiALSTAR),nan,0.0029756
2022.05.16~2022.05.22,이유가 없는 이유,빌리어코스티,nan,0.0503894
2022.05.16~2022.05.22,우주대청소 (Doildoshi funk mix),김민규,nan,0.002283
2022.05.16~2022.05.22,Perfume (Feat. 송지은),로키드 (Lokid),nan,0.021262
2022.05.09~2022.05.15,봄,줍에이(Joob A),"줍에이,woonso",0.0131095
2022.05.09~2022.05.15,"잠시멈출래 (feat.1ho, 0back)",공기남(Airman),"공기남,Daowl",0.0197716
2022.05.09~2022.05.15,초록을거머쥔우리는,잔나비(Jannabi),잔나비 최정훈,0.2007901
2022.05.09~2022.05.15,여름가을겨울　봄.,잔나비(Jannabi),"잔나비 최정훈,조호균",0.2007901
2022.05.09~2022.05.15,슬픔이여안녕,잔나비(Jannabi),잔나비 최정훈,0.2007901
2022.05.09~2022.05.15,레이디버드,잔나비(Jannabi),잔나비 최정훈,0.2007901
2022.05.09~2022.05.15,"괜찮아, 아무렇지 않아 (Feat. 이소정)",고닥 (GODAK),고닥,0.0032644
2022.05.02~2022.05.08,교복에서 부케까지,안예은(AHNYEEUN),"정원호,이주현,이지훈,이정문,Strawberrybananaclub,정귀문,안예은",0.0284545
2022.05.02~2022.05.08,1분이 지나면 (23:59),그리즐리 (Grizzly),"그리즐리,AVIN,김재성,SLAY,크래커",0.0027486
2022.05.02~2022.05.08,초대,멜로망스(MeloMance),"멜로망스,정동환",0.394433
2022.05.02~2022.05.08,너랑,멜로망스(MeloMance),"멜로망스,정지찬,마누,정동환",0.394433
2022.05.02~2022.05.08,꿈의 왈츠,멜로망스(MeloMance),"김민석,정동환",0.394433
2022.04.25~2022.05.01,도돌이표,빌리어코스티,nan,0.0503894
2022.04.25~2022.05.01,은빛,818,nan,0.0008456
2022.04.18~2022.04.24,살기 위해서,순순희(SOONSOONHEE),"오성훈,한길",0.0024667
2022.04.18~2022.04.24,노승과 잔나비,안예은(AHNYEEUN),안예은,0.0284545
2022.04.18~2022.04.24,calling,오왠(O.WHEN),"오왠,조영몬",0.2732158
2022.04.11~2022.04.17,우주대청소,김민규,nan,0.002283
2022.03.28~2022.04.03,바야흐로 사랑의 계절,"이민혁(LeeMinHyuk), 박새별",,0.0008228
2022.03.28~2022.04.03,아무래도 난,주시크 (Joosiq),"주시크,안성현",0.0583935
2022.03.21~2022.03.27,멀어진 만큼 (Distance),스탠딩 에그(Standing Egg),"Egg1,Egg2,Egg3,박준하",0.3441509
2022.03.21~2022.03.27,Memento Mori,크루셜스타 (CRUCiALSTAR),"크루셜스타,ThatKidGoran",0.0029756
2022.03.21~2022.03.27,선 (Line),안예은(AHNYEEUN),"Strawberrybananaclub,안예은",0.0284545
