가수,점수
TWICE(트와이스),3.9928518
BLACKPINK,3.8158416
방탄소년단,3.6502295
아이유,3.2109455
오마이걸(OHMYGIRL),2.872891
RedVelvet(레드벨벳),2.4245809
ITZY(있지),2.1569777
EXO,2.0482805
청하,1.9133155
마마무(Mamamoo),1.7136361
세븐틴,1.5917913
IZ*ONE(아이즈원),1.5369284
여자친구(GFRIEND),1.2885191
aespa,1.2399636
TEDDY,1.1639268
(여자)아이들,1.0306347
라도,1.0266204
선미,1.0099323
블랙아이드필승,1.0033905
전군,0.8657772
브레이브걸스,0.865716
박우상,0.8654695
Dokkun,0.8520913
WINNER,0.8383007
R.Tee,0.7636865
24,0.6389644
CazziOpeia,0.6235513
유영진,0.6224428
화사(HwaSa),0.6087816
MaxxSong,0.6042799
RyanS.Jhun,0.555091
태연(TAEYEON),0.5542406
MUSOH,0.54844
GALAX,0.54844
SHINee(샤이니),0.5345425
BUMZU,0.5295095
J.Y.Park'TheAsiansoul',0.5120026
Apink(에이핑크),0.4985651
송성경,0.4846943
전소연,0.4824817
앤드,0.474035
화사,0.4721307
RM,0.4648862
Michel'Lindgren'Schulz,0.4648507
MelanieFontana,0.4648507
WOOZI,0.4590822
투모로우바이투게더,0.4487934
'Hitman'Bang,0.4272723
전소미,0.4246007
STAYC(스테이씨),0.4207853
StevenLee,0.4021533
FUTUREBOUNCE,0.3871331
싹쓰리(유두래곤,0.3854484
린다G,0.3854484
비룡),0.3854484
PDOGG,0.3823977
NCTDREAM,0.3718609
이해솔,0.3691286
SUGA,0.3648807
이상순,0.3530391
highseAson,0.3530391
용감한형제,0.3281674
빅싼초,0.3276731
별들의전쟁,0.3258354
FRANTS,0.3154835
그루비룸,0.3140831
AnneJudithStokkeWik,0.3048672
강욱진,0.3036219
현아,0.3023402
강창모,0.296272
이상이,0.296272
원슈타인),0.296272
이동휘,0.296272
정기석,0.296272
박재정,0.296272
MSG워너비TOP8(별루지,0.296272
김정수,0.296272
WannaOne(워너원),0.2876111
모모랜드(MOMOLAND),0.2867449
NCT127,0.2865918
LudvigEversa.k.aMoonshine,0.2820347
이민수,0.2811268
Weeekly(위클리),0.274073
박진영(J.Y.Park),0.2734593
NCTU,0.2721363
AdrianMckinnon,0.268165
LudwigLindell,0.2670359
웅킴,0.2633575
강승윤,0.2632948
김승수,0.2611844
DanielCaesar,0.2606789
환불원정대,0.2603249
JonatanGusmark,0.2588712
BIGBANG(빅뱅),0.253885
이우민'Collapsedone',0.2517786
CelineSvanback,0.2379745
JeppeLondon,0.2379745
ChloeLatimer,0.2362816
라붐(LABOUM),0.2316365
LauritzChristiansen,0.231382
IU,0.2310088
AnnaTimgren,0.2284517
j-hope,0.2278009
신사동호랭이,0.226796
아테나,0.2263999
최현준,0.2234234
비룡,0.2118518
KENZIE,0.2117937
BrianLee,0.2078585
유아(오마이걸),0.2046449
임수호,0.2043671
AshleyAlisha,0.2034933
AOA,0.2017925
BekuhBOOM,0.2004051
DavidAmber,0.1981587
효린,0.19525
프로미스나인,0.1908343
SeanAlexander,0.1904852
심은지,0.1904311
LydiaPaek,0.1894821
씨스타,0.1894389
EllenBergTollbom,0.1845019
GALACTIKA,0.1824114
방시혁,0.1816931
NS윤지,0.1801325
MZMC,0.1775023
김건우,0.176553
정은지,0.176553
양요섭,0.176553
DOKO,0.176553
Poptime,0.1747841
Caesar&Loui,0.1729817
Diggy,0.1729061
이하이,0.1727382
Halsey,0.1709107
EmilyWeisband,0.1709107
AndreasBaertels,0.1709
오승은,0.1709
에이프릴(APRIL),0.169105
보아(BoA),0.1682487
투챔프,0.1666887
EJAE,0.1649164
teamGALACTIKA*,0.1637466
우빈,0.1637466
X1(엑스원),0.1636216
차쿤,0.1635752
박기태,0.1624235
2PM,0.1597888
MayuWakisaka,0.1586803
AndrewScott,0.1560724
거북이,0.1542627
창모(CHANGMO),0.1535485
이단옆차기,0.1530359
임성훈,0.1513251
MINO,0.1446312
SebastianThott,0.1445227
MosPick,0.1436148
Vincenzo,0.14199
Laurell,0.1416899
AndreasJohansson,0.1416899
박문치,0.1398651
DavidStewart,0.1390931
JessicaAgombar,0.1390931
CarolineGustavsson,0.1390256
BXN,0.1387462
이채규,0.1368498
이종훈,0.1368498
DemJointz,0.1357917
레드벨벳-아이린&슬기,0.1353795
AndyLove,0.1338485
HyukShin,0.1321372
Nthonius,0.1321194
DevineChannel,0.1317866
Ollipop,0.1312404
HayleyAitken,0.1312404
뉴이스트,0.1309611
TayJasper,0.1307151
이현도,0.1302532
박진영,0.1295607
우주소녀,0.1289759
KZ,0.1279071
G-DRAGON,0.127002
현아&던,0.126667
원더키드,0.1236326
LDNNoise,0.1224531
유건형,0.1217928
노주환,0.1212969
비,0.1202775
이찬혁,0.118319
최규성,0.1174783
PEEJAY,0.1173012
이스란,0.1169317
LaurenDyson,0.1163142
JJEvans,0.1157958
MooF,0.1157958
정윤,0.1157958
JS,0.1152355
JennaAndrews,0.1146755
SpaceOne,0.111336
소녀시대(GIRLS'GENERATION),0.1109947
AnyMasingga,0.1109364
Fuxxy,0.1109364
볼빨간사춘기,0.1105034
DavidGuetta,0.1101413
LeahHaywood,0.1101413
제니,0.1101413
TommyBrown,0.1092314
제인스,0.1060874
비오,0.1060196
박근태,0.1058291
다비치,0.1037296
이원종,0.1036659
JustinReinstein,0.1025239
AWright,0.1016983
태민(TAEMIN),0.0998305
송재경,0.099415
danke,0.099415
탐쓴,0.099415
라이언전,0.0992415
Omega,0.0988831
EllaIsaacson,0.0988831
JordanJamesReyes,0.0988831
ScottChesak,0.0988831
GabrielaGeneva,0.0988831
ShaunLopez,0.0988831
C-no,0.0980506
조유리,0.097747
라이엇게임즈,0.097728
죠리,0.0977196
AndrewBazzi,0.0959566
마부스,0.094938
KylerNiko,0.0943568
Mr.Franks,0.0943359
JoeLawrence,0.0925313
iKON,0.0906846
CameronNeilson,0.0876974
EllenBerg,0.0876974
박슬기,0.0875847
AnthonyRusso,0.0872199
지예준,0.0870124
FAB,0.0870124
김도훈,0.0868499
2NE1,0.0862805
RobGrimaldi,0.0847092
RonnySvendsen,0.0844973
Andreas?berg,0.084396
한재완,0.0835028
MikeWoods,0.0825048
Ricen'Peas,0.0825048
KevinWhite,0.0825048
몬스타엑스,0.0792105
N!ko,0.0782945
Dr.JO,0.0782945
Rodnae'Chikk'Bell,0.0771373
Kobee,0.0770014
CharlotteWilson,0.0770014
earattack,0.0770014
더보이즈(THEBOYZ),0.0747149
FlowBlow,0.0742635
Jamil'Digi'Chammas,0.0742366
Harloe,0.0731919
JustinTranter,0.0717025
UzoechiEmenike,0.0717025
JuliaMichaels,0.0717025
MNEK,0.0717025
ZaraLarsson,0.0717025
Avenue52,0.0716662
Anchor,0.071426
CHANGMO,0.0698463
강명신,0.0690194
비투비,0.0689971
AlbiAlbertsson,0.0687188
HautboiRich,0.067825
DaishiDance,0.0673772
AlexBilowitz,0.0673275
StephenKirk,0.0673275
RonPerry,0.0673275
SebastianGarcia,0.0673275
용배,0.0671888
SophieCurtis,0.0670135
SlymeYoung,0.067005
MGR,0.066804
김건모,0.0659336
레드쿠키,0.0659035
Cristi'Stalone'Gallo,0.0658574
Asia'hEpperson,0.0658574
LevenKali,0.0654999
moonc,0.0653195
AB6IX(에이비식스),0.0646642
DEEZ,0.0641933
코스믹걸,0.0640215
코스믹사운드,0.0640215
김민기,0.0637578
승리,0.0637052
AdamMcInnis,0.0627965
MarioMarchetti,0.0627965
를,0.0625749
준케이,0.0625749
영광의얼굴들,0.0624703
ScottRussellStoddart,0.062455
SelenaGomez,0.0623409
VictoriaMonet,0.0623409
ArianaGrande,0.0623409
폴킴,0.062083
브라더수,0.0605173
SlowRabbit,0.0604403
소녀시대-태티서(Girls'Generation-TTS),0.0596141
은하,0.0595622
유주,0.0595622
SupremeBoi,0.0587206
Nmore,0.0586377
JacobChatelain,0.0565575
LondonJackson,0.0565575
MadilynBailey,0.0565575
MartinCoogan,0.0565575
ZacchariahPalmer,0.0565575
이수현,0.0563114
하이라이트(Highlight),0.0561865
이상호,0.0560665
BobiiLewis,0.0559229
TheStereotypes,0.0558399
WhitneyPhillips,0.0558399
ShaunKim,0.055803
KarenPoole,0.0546288
AllisonKaplan,0.0539593
ChristofferLauridsen,0.0539593
이현승,0.0534772
EXID,0.0530196
갓츄(GOTU),0.0513408
코요태,0.0508943
