가수,점수
로꼬(Loco),7947.049149
CODEKUNST,7697.115764
GRAY,5719.717294
기리보이(GIRIBOY),5120.010663
GroovyRoom,4715.127224
YUMDDA,4376.484895
pH-1(피에이치원),4023.428273
릴보이(lIlBOI),3409.365379
APRO,3319.448779
TOIL,2784.776353
GAEKO,2756.769321
GIRIBOY,2563.065772
다이나믹듀오(Dynamicduo),2504.168883
머쉬베놈(MUSHVENOM),2367.608855
헤이즈(Heize),2333.855857
저스디스(JUSTHIS),2244.660334
창모(CHANGMO),2221.351185
박재범(JayPark),2163.83111
BIGNaughty(서동현),2043.001329
BE'O(비오),2034.204894
호미들(Homies),1978.646847
DAX,1934.83421
키드밀리(KidMilli),1895.80442
JUSTHIS,1816.02075
제시(Jessi),1763.407054
Slom,1632.221075
D.Ark(디아크),1499.109119
염따(YUMDDA),1483.563288
ASHISLAND(애쉬아일랜드),1482.144643
사이먼도미닉(SimonDominic),1441.60817
에픽하이(EPIKHIGH),1376.631063
Jessi,1363.847
JayPark,1315.087923
Heize,1312.603374
베이식(Basick),1305.503247
Pick!,1276.610633
PEEJAY,1245.200038
pH-1,1235.863209
KidMilli,1215.12701
릴러말즈(Leellamarz),1212.607608
Wonstein,1211.274353
스윙스(Swings),1210.179854
CHANGMO,1206.66627
래원(Layone),1177.53949
지코(ZICO),1149.815669
리쌍(LEESSANG),1084.275216
JvckiWai,995.866434
미란이(Mirani),964.6687871
sokodomo(소코도모),960.2436278
Muddthestudent(머드더스튜던트),876.265275
TheQuiett(더콰이엇),849.8175996
MINO,831.7054835
KOONTA(쿤타),819.323739
ASHISLAND,817.933552
Cashbanger,816.8898019
Zion.T,813.4810237
Chin,791.5
DonMills(던밀스),786.4335265
마미손(MommySon),781.3247118
BOYCOLD,770.9886234
팔로알토(Paloalto),716.5234385
Crush,712.2083364
BIGNaughty,707.1642455
원슈타인(Wonstein),687.0528034
BRLLNT,684.8538031
TheQuiett,653.915351
Fisherman,652.771191
수퍼비(SUPERBEE),648.308927
MINO(송민호),640.7
WayChed,635.9950599
DPRLIVE(디피알라이브),621.7
BewhY,601.4484566
한요한(HANYOHAN),593.3367525
Paloalto,573.4980499
Khakii(카키),572.9781226
유건형,565.658733
PSY,560.858733
noisemasterminsu,538.8084371
Loco,537.6326405
식케이(Sik-K),532.1446007
JAEHA(재하),529.8492355
개코(GAEKO),526.339739
양홍원(YANGHONGWON),507.6306899
아넌딜라이트(Anandelight),505.4230055
김하온(HAON),498.1154973
SINCE(신스),485.317794
TRADEL(트레이드엘),480.226253
라비(RAVI),478.5
쿠기(Coogie),475.536047
Minit,474.3569029
루피(Loopy),471.411845
린다G(LindaG),448.8265882
코드쿤스트(CODEKUNST),435.1260636
GooseBumps,427.6506837
THAMA,426.044469
조광일(GwangilJo),408.9040305
Sik-K,403.5843646
그루비룸(GroovyRoom),402.8762945
PATEKO(파테코),378.400315
나플라(nafla),378.3
이영지(LeeYoung-ji),375.3748991
황세현(h3hyeon),369.8492355
SOLE,368.365058
Padi,361.41
펀치넬로(punchnello),355.7085026
싸이(PSY),325.125
Untell(언텔),314.8
SimonDominic,308.3821764
페노메코(PENOMECO),301.412941
DeVita,296.8953289
길,295.3621185
이진우($IGAA),290.8666666
PATEKO,277.924445
TOIL(토일),274.244441
GRAY(그레이),270.7597529
WoodieGochild(우디고차일드),267.2584298
Leellamarz,261.2142731
빈첸(VINXEN),261.0174045
SkinnyBrown,243.1252635
BewhY(비와이),240.8293418
SLO,236.7418418
ZENETHEZILLA(제네더질라),235.1084346
박경(PARKKYUNG),234.9
EK(이케이),233.8032074
millic,225.504337
노윤하(RohYoonha),221.9163635
YoBoy(강요셉),221.9163635
JAMIE,219.129245
Coogie,218.9597839
PaulBlanco,218.5182364
Liltachi(릴타치),217.1356399
philtre,203.61
빈지노(Beenzino),201.3384724
JvckiWai(재키와이),194.7540967
sogumm,189
L-like,189
KimSeungmin,188.835646
basecamp,188.835646
YUNHWAY(윤훼이),181.5066143
Northfacegawd(노스페이스갓),176.198468
NO:EL(노엘),172.9783308
최진호(BlueWhale),171.3539618
Crush(크러쉬),167.921945
디핵(D-Hack),165.579955
WOOGIE,163.3003942
지구인(Geegooin),152.4597945
딥플로우(Deepflow),129.8864064
개리(GARY),126.9
dsel(디젤),124.9
가오가이(kaogaii),124.9
허성현(Huh),124.9
로코,118.141306
베리,118.141306
넉살(Nucksal),117.4618965
우원재(WooWonjae),117.1491974
FANXYCHILD(팬시차일드),116.5345408
김승민(KimSeungmin),115.2651563
SkinnyBrown(스키니브라운),113.9702055
Choo(추),111.5321745
obiegogle(오비고글),111.5321745
unofficialboyy(언오피셜보이),111.4378495
Chrli,107.24388
Shyun,103.858871
PJNOTREBLE,103.858871
PENOMECO,98.5215198
StayTuned,93.9564952
JAEHA,93.7613335
Noheul,93.4666666
똘아이박,93.4666666
피터팬,93.4666666
MUSHVENOM,92.6086175
ChillinHomie(칠린호미),90.860408
Baggie(배기),87.754533
TouchtheSky(터치더스카이),86.102025
Vapo(허원혁),86.102025
Mokyo,82.9158066
Keymaker,82.8025479
조용민,82.8025479
UNEDUCATEDKID,82.6815269
박준우,76.1452652
Jhnovr,75.9283884
Loopy,75.0007125
Primary,74.0299345
짱유(JJANGYOU),72.632747
D-Hack,69.348391
김효은,69.0664426
HuckleberryP,69.0664426
Deepflow,69.0664426
TheNeed,64.796116
twlv,64.796116
아우릴고트(OUREALGOAT),61.9834745
Tabber(태버),61.9834745
안병웅(AhnByeongWoong),61.9834745
트웰브(twlv),59.9916666
호치키스(HOTCHKISS),58.8
STAFFONLY,58.5
Nutty,58.5
UNEDUCATEDKID(언에듀케이티드키드),58.4394298
송민영(KidM),58.3230365
365LIT(365릿),58.3230365
황지상(HWANGJISANG),58.3230365
HANYOHAN,57.4413556
매드클라운(MadClown),57.2349706
Stally,56.460826
Heondred,56.460826
Deanfluenza,53.427155
Vangdale,52.1810006
sAewoo,50.0990775
P#000000,49.3253696
양홍원,45.9039941
DonMills,45.153584
Nucksal,45.153584
플루마(PLUMA),44.9728615
박현진(PARKHYEONJIN),44.9728615
LilBemo(김다현),44.9728615
YLNForeign(이정운),44.9728615
Mirani,44.142732
김민규(YoungKay),43.803732
권영훈(TANGTHEAWESOME),43.3667578
TREVOR,41.5054835
ZiorPark(지올팍),41.021945
최자(Choiza),41.021945
샘김(SamKim),41.021945
보이비(BoiB),41.021945
스카이민혁(Skyminhyuk),40.0824847
HashSwan(해쉬스완),39.9926622
Chin(친),39.625
CK(씨케이),39.625
YunB(윤비),39.1716884
LeeYoung-ji,37.526715
KhundiPanda(쿤디판다),36.9139292
먼치맨(MUNCHMAN),36.9139292
IMEANSEOUL,34.6729295
FLIP_00,34.6729295
Hyeon,34.6729295
Sean,34.6729295
KIRIN,34.610652
WoodieGochild,33.7003901
YUNHWAY,31.5197994
Godic,29.3
GLOVE,29.3
DPRCREAM,29.3
DPRLIVE,29.3
VerbalJint,27.5957746
Gsoul,26.9368866
정기고(Junggigo),26.6687262
Dbo,24.2496248
최엘비(CHOILB),24.0499063
OsshunGum(오션검),22.0331028
맥대디(Mckdaddy),21.7083066
김유정(KimYoujung),21.5455685
Unsinkable,21.0219251
이하이,20.6909544
뱃사공(Bassagong),20.3589327
FIFTYFIVE,19.263043
SanE(산이),19.25
프라이머리(Primary),18.1159015
SeoulMetroBoomin,18.1016661
이성경(Leesungkyung),17.734447
에이체스(A-Chess),16.198468
JWay,15.9726472
hoiwave,15.8043304
KidWine,15.7044127
Yosi,15.164136
Dhard,14.61
KWAKZ,13.710248
로코베리,13.1819625
EK,12.0566344
Lellamarz,12.0549612
ZICO,12.0087418
첸(CHEN),11.85
Yunu,11.610057
HwaSa,11.6082324
VINXEN,11.2211366
지소울(GSoul),10.881966
로스(Los),10.073587
SOLE(쏠),10.073587
DeVita(드비타),10.073587
프리마비스타,8.7501915
PatVanDyke,8.7501915
lIlBOI,7.1598315
FlashNote,6.996116
SUPERBEE,6.996116
Junggigo,6.7703295
BEATBOXDG,6.7703295
김효은(Keemhyoeun),6.6964482
