가수,점수
볼빨간사춘기(BOL4),2.1315328
10CM(십센치),1.5002793
바닐라맨,1.0891285
마크툽(MAKTUB),0.9565334
안지영,0.9553503
잔나비(Jannabi),0.8231276
오반(OVAN),0.5048005
10CM,0.4175113
멜로망스(MeloMance),0.394433
적재(Jukjae),0.3577158
마크툽,0.348274
스탠딩에그(StandingEgg),0.3441509
윤딴딴(YUNDDanDdan),0.2957927
이라온,0.290322
#안녕,0.2836526
오왠(O.WHEN),0.2732158
이윤혁,0.2684626
CHEEZE(치즈),0.2675487
혁오(HYUKOH),0.265884
우디(Woody),0.2584899
이요한,0.2537412
성수용,0.2472013
오반,0.2305516
에이치코드(H:CODE),0.2277871
VAN.C,0.2265661
정동환,0.2190384
임재현(LimJaeHyun),0.2140405
DOKO,0.2104698
임정규,0.2037241
잔나비,0.2007901
잔나비최정훈,0.1898949
정동원(JeongDongWon),0.1880516
김도형,0.1879799
박민지,0.1846809
TripleSynergy,0.1846809
숀,0.1457673
리트너,0.1455004
T.PRETRO(타디스프로젝트舊),0.1412585
윤딴딴,0.1409511
방인재,0.1342762
죠지(george),0.1336701
멜로망스,0.1336548
숀(SHAUN),0.1308773
오혁,0.1291079
정준일(JungJoonIl),0.1283328
장덕철(JANGDEOKCHEOL),0.1244001
에이치코드,0.1215786
문성욱(MoonSeongWook),0.12037
학선,0.1195188
최현석,0.1160725
유영현,0.1153323
적재,0.1099554
런치(LUNCH),0.1083673
권박사,0.1081382
피아노맨,0.106711
이라온(LEERAON),0.1052919
우디,0.1044141
스트레이(TheStray),0.1015704
2soo,0.0993243
정준일,0.0970552
문성욱,0.0959476
문문(MoonMoon),0.0954135
사승호,0.0941097
Egg2,0.0929333
Egg1,0.0929333
Egg3,0.0929333
순순희(SOONSOONHEE),0.0918979
고범준,0.0880247
낯선아이,0.0819675
델리스파이스(DeliSpice),0.0788359
LAGOON,0.0774937
FineFive,0.0755836
윤토벤(YounToven),0.0746394
추대관,0.0729425
혁오,0.0720171
피아노맨(PIANOMAN),0.0714523
달총,0.0700469
B.a.B,0.0699519
스무살(20YEARSOFAGE),0.0696432
김동휘,0.0695915
두번째별,0.0694753
이래언,0.0674058
죠지,0.0659951
J.Litz,0.0651546
카더가든,0.0647591
VIP,0.0642875
밤그늘,0.0637549
nineoff,0.0623589
덕인,0.0621998
더필름,0.0611526
주시크(Joosiq),0.0583935
오왠,0.0578274
황종하,0.0576029
김C,0.0573261
구름,0.0544493
이승표,0.0531044
한희준,0.0531044
