월,순위,타이틀,가수
1,1,벌써 12시,청하
1,2,MILLIONS,WINNER
1,3,YES or YES,TWICE (트와이스)
1,4,Love Shot,EXO
1,5,Tempo,EXO
1,6,%% (응응),Apink (에이핑크)
1,7,봄바람,Wanna One (워너원)
1,8,습관 (Bad Habits),숀 (SHAUN)
1,9,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원)
1,10,사이렌 (Siren),선미
1,11,Dance The Night Away,TWICE (트와이스)
1,12,해야 (Sunrise),여자친구 (GFRIEND)
1,13,트라우마 (Trauma),EXO
1,14,Gravity,EXO
1,15,에너제틱 (Energetic),Wanna One (워너원)
1,16,닿은 순간 (Ooh La La La),EXO
1,17,RBB (Really Bad Boy),Red Velvet (레드벨벳)
1,18,Sign,EXO
1,19,BOOMERANG (부메랑),Wanna One (워너원)
1,20,Damage,EXO
1,21,켜줘 (Light),Wanna One (워너원)
1,22,그 남자를 떠나,god
1,23,불꽃놀이 (Flowerbomb),Wanna One (워너원)
1,24,Roller Coaster,청하
1,25,알러뷰,EXID
1,26,너나 해 (Egotistic),마마무 (Mamamoo)
1,27,Forever Young,BLACKPINK
1,28,Power Up,Red Velvet (레드벨벳)
1,29,1도 없어,Apink (에이핑크)
1,30,"셋 셀테니 (1, 2, 3!)",승리
1,31,집,Wanna One (워너원)
1,32,뿜뿜,모모랜드 (MOMOLAND)
1,33,What is Love?,TWICE (트와이스)
1,34,약속해요 (I.P.U.),Wanna One (워너원)
1,35,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
1,36,묻고싶다 (One Love),Wanna One (워너원)
1,37,별이 빛나는 밤,마마무 (Mamamoo)
1,38,밤 (Time for the moon night),여자친구 (GFRIEND)
1,39,한(一),(여자)아이들
1,40,Love U,청하
1,41,어쩌나,세븐틴
1,42,REALLY REALLY,WINNER
1,43,마지막처럼,BLACKPINK
1,44,POP/STARS,"(여자)아이들, Madison Beer, Jaira Burns, K/DA, League of Legends"
1,45,아주 NICE,세븐틴
1,46,Heart Shaker,TWICE (트와이스)
1,47,Awake!,Wanna One (워너원)
1,48,죽겠다 (KILLING ME),iKON
1,49,빨간 맛 (Red Flavor),Red Velvet (레드벨벳)
1,50,LATATA,(여자)아이들
1,51,Bad Boy,Red Velvet (레드벨벳)
1,52,불타오르네 (FIRE),방탄소년단
1,53,BAAM,모모랜드 (MOMOLAND)
1,54,LIKEY,TWICE (트와이스)
1,55,불장난,BLACKPINK
1,56,Good to Me,세븐틴
1,57,Destiny (Intro.),Wanna One (워너원)
1,58,La La Love,우주소녀
1,59,가시나,선미
1,60,숨이 차,세븐틴
1,61,BLUE MOON (Prod. GroovyRoom),"효린, 창모 (CHANGMO)"
1,62,TT,TWICE (트와이스)
1,63,Why Don't You Know (Feat. 넉살),청하
1,64,주인공,선미
1,65,스물셋,아이유
1,66,빙글뱅글 (Bingle Bangle),AOA
1,67,KNOCK KNOCK,TWICE (트와이스)
1,68,Decalcomanie (데칼코마니),마마무 (Mamamoo)
1,69,CHEER UP,TWICE (트와이스)
1,70,불꽃놀이 (Remember Me),오마이걸 (OH MY GIRL)
1,71,피카부 (Peek-A-Boo),Red Velvet (레드벨벳)
1,72,Rumor,국.슈 (국프의 핫이슈)
1,73,Shhh,세븐틴
1,74,I NEED U,방탄소년단
1,75,Traveler,숀 (SHAUN)
1,76,좋은 날,아이유
1,77,찾아가세요,러블리즈
1,78,러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳)
1,79,비밀정원,오마이걸 (OH MY GIRL)
1,80,시간을 달려서 (Rough),여자친구 (GFRIEND)
1,81,몰랐니 (Lil' Touch),소녀시대-Oh!GG
1,82,너랑 나,아이유
1,83,New Face,싸이 (PSY)
1,84,캥거루 (Kangaroo) (Prod. ZICO),Wanna One (워너원) - 트리플포지션
1,85,Save ME,방탄소년단
1,86,Dejavu,뉴이스트 W
1,87,여름여름해 (Sunny Summer),여자친구 (GFRIEND)
1,88,HELP ME,뉴이스트 W
1,89,나로 말할 것 같으면 (Yes I am),마마무 (Mamamoo)
1,90,터미널 (Terminal),숀 (SHAUN)
1,91,Rookie,Red Velvet (레드벨벳)
1,92,OOH-AHH하게,TWICE (트와이스)
1,93,Wow Thing,"슬기 (SEULGI), 신비 (여자친구), 청하, 전소연"
1,94,SIGNAL,TWICE (트와이스)
1,95,ISLAND,WINNER
1,96,부탁해,우주소녀
1,97,오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND)
1,98,하루 끝,아이유
1,99,DINOSAUR,AKMU (악뮤)
1,100,花요일 (Blooming Day),EXO-CBX (첸백시)
2,1,벌써 12시,청하
2,2,멍청이(twit),화사 (Hwa Sa)
2,3,달라달라,ITZY (있지)
2,4,YES or YES,TWICE (트와이스)
2,5,MILLIONS,WINNER
2,6,Love Shot,EXO
2,7,해야 (Sunrise),여자친구 (GFRIEND)
2,8,Tempo,EXO
2,9,%% (응응),Apink (에이핑크)
2,10,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원)
2,11,Dance The Night Away,TWICE (트와이스)
2,12,사이렌 (Siren),선미
2,13,봄바람,Wanna One (워너원)
2,14,습관 (Bad Habits),숀 (SHAUN)
2,15,에너제틱 (Energetic),Wanna One (워너원)
2,16,아주 NICE,세븐틴
2,17,어쩌나,세븐틴
2,18,Good to Me,세븐틴
2,19,숨이 차,세븐틴
2,20,트라우마 (Trauma),EXO
2,21,Gravity,EXO
2,22,닿은 순간 (Ooh La La La),EXO
2,23,Shhh,세븐틴
2,24,Sign,EXO
2,25,BOOMERANG (부메랑),Wanna One (워너원)
2,26,Roller Coaster,청하
2,27,Damage,EXO
2,28,Forever Young,BLACKPINK
2,29,너나 해 (Egotistic),마마무 (Mamamoo)
2,30,뿜뿜,모모랜드 (MOMOLAND)
2,31,켜줘 (Light),Wanna One (워너원)
2,32,What is Love?,TWICE (트와이스)
2,33,Power Up,Red Velvet (레드벨벳)
2,34,별이 빛나는 밤,마마무 (Mamamoo)
2,35,WANT,태민 (TAEMIN)
2,36,1도 없어,Apink (에이핑크)
2,37,밤 (Time for the moon night),여자친구 (GFRIEND)
2,38,RBB (Really Bad Boy),Red Velvet (레드벨벳)
2,39,"셋 셀테니 (1, 2, 3!)",승리
2,40,마지막처럼,BLACKPINK
2,41,REALLY REALLY,WINNER
2,42,Heart Shaker,TWICE (트와이스)
2,43,알러뷰,EXID
2,44,한(一),(여자)아이들
2,45,빨간 맛 (Red Flavor),Red Velvet (레드벨벳)
2,46,Love U,청하
2,47,그 남자를 떠나,god
2,48,불타오르네 (FIRE),방탄소년단
2,49,불장난,BLACKPINK
2,50,Bad Boy,Red Velvet (레드벨벳)
2,51,LIKEY,TWICE (트와이스)
2,52,LATATA,(여자)아이들
2,53,약속해요 (I.P.U.),Wanna One (워너원)
2,54,불꽃놀이 (Flowerbomb),Wanna One (워너원)
2,55,BAAM,모모랜드 (MOMOLAND)
2,56,POP/STARS,"(여자)아이들, Madison Beer, Jaira Burns, K/DA, League of Legends"
2,57,죽겠다 (KILLING ME),iKON
2,58,가시나,선미
2,59,BLUE MOON (Prod. GroovyRoom),"효린, 창모 (CHANGMO)"
2,60,TT,TWICE (트와이스)
2,61,빙글뱅글 (Bingle Bangle),AOA
2,62,Why Don't You Know (Feat. 넉살),청하
2,63,CHEER UP,TWICE (트와이스)
2,64,Decalcomanie (데칼코마니),마마무 (Mamamoo)
2,65,KNOCK KNOCK,TWICE (트와이스)
2,66,피카부 (Peek-A-Boo),Red Velvet (레드벨벳)
2,67,주인공,선미
2,68,스물셋,아이유
2,69,좋은 날,아이유
2,70,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
2,71,I NEED U,방탄소년단
2,72,Rumor,국.슈 (국프의 핫이슈)
2,73,불꽃놀이 (Remember Me),오마이걸 (OH MY GIRL)
2,74,시간을 달려서 (Rough),여자친구 (GFRIEND)
2,75,La La Love,우주소녀
2,76,Senorita,(여자)아이들
2,77,러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳)
2,78,Save ME,방탄소년단
2,79,묻고싶다 (One Love),Wanna One (워너원)
2,80,New Face,싸이 (PSY)
2,81,집,Wanna One (워너원)
2,82,너랑 나,아이유
2,83,비밀정원,오마이걸 (OH MY GIRL)
2,84,CLOCK,인피니트
2,85,나로 말할 것 같으면 (Yes I am),마마무 (Mamamoo)
2,86,오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND)
2,87,Rookie,Red Velvet (레드벨벳)
2,88,OOH-AHH하게,TWICE (트와이스)
2,89,하루 끝,아이유
2,90,Love Yourself,에릭남 (Eric Nam)
2,91,No,CLC
2,92,팩트 (FACT),코요태
2,93,캥거루 (Kangaroo) (Prod. ZICO),Wanna One (워너원) - 트리플포지션
2,94,여름여름해 (Sunny Summer),여자친구 (GFRIEND)
2,95,DINOSAUR,AKMU (악뮤)
2,96,몰랐니 (Lil' Touch),소녀시대-Oh!GG
2,97,SIGNAL,TWICE (트와이스)
2,98,찾아가세요,러블리즈
2,99,All Night (전화해),ASTRO (아스트로)
2,100,음오아예 (Um Oh Ah Yeh),마마무 (Mamamoo)
3,1,달라달라,ITZY (있지)
3,2,멍청이(twit),화사 (Hwa Sa)
3,3,벌써 12시,청하
3,4,고고베베 (gogobebe),마마무 (Mamamoo)
3,5,누아르 (Noir),선미
3,6,YES or YES,TWICE (트와이스)
3,7,Senorita,(여자)아이들
3,8,MILLIONS,WINNER
3,9,Love Shot,EXO
3,10,해야 (Sunrise),여자친구 (GFRIEND)
3,11,Tempo,EXO
3,12,Dance The Night Away,TWICE (트와이스)
3,13,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원)
3,14,사이렌 (Siren),선미
3,15,BIRD,하성운
3,16,%% (응응),Apink (에이핑크)
3,17,봄바람,Wanna One (워너원)
3,18,아주 NICE,세븐틴
3,19,에너제틱 (Energetic),Wanna One (워너원)
3,20,어쩌나,세븐틴
3,21,Roller Coaster,청하
3,22,어느날 머리에서 뿔이 자랐다 (CROWN),투모로우바이투게더
3,23,트라우마 (Trauma),EXO
3,24,뿜뿜,모모랜드 (MOMOLAND)
3,25,Forever Young,BLACKPINK
3,26,Good to Me,세븐틴
