년도,월,순위,타이틀,가수,프로듀서
2020,1,1,Psycho,Red Velvet (레드벨벳),"Andrew Scott,Cazzi Opeia,EJAE,유영진"
2020,1,2,HIP,마마무 (Mamamoo),"Dokkun,박우상,화사"
2020,1,3,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"PDOGG,RM,Melanie Fontana,Michel 'Lindgren' Schulz,'Hitman' Bang,SUGA,Emily Weisband,j-hope,Halsey"
2020,1,4,불티 (Spark),태연 (TAEYEON),"KENZIE,Anne Judith Stokke Wik,Ronny Svendsen"
2020,1,5,Obsession,EXO,"Dem Jointz,Cristi 'Stalone' Gallo,Asia'h Epperson,Adrian Mckinnon,유영진,라이언 전"
2020,1,6,Feel Special,TWICE (트와이스),"J.Y. Park 'The Asiansoul',Ollipop,Hayley Aitken,이우민 'Collapsedone'"
2020,1,7,LION,(여자)아이들,"빅싼초,전소연"
2020,1,8,날 보러 와요 (Come See Me),AOA,"Dokkun,서용배"
2020,1,9,Trouble,EXO,"Jin By Jin,Bobii Lewis,Karen Poole"
2020,1,10,나비효과 (Butterfly Effect),EXO,"Greg Bonnick,Hayden Chapman,Adrian Mckinnon,LDN Noise"
2020,1,11,춤 (Groove),EXO,"Hyuk Shin,Jisoo Park,Blair Taylor"
2020,1,12,지킬 (Jekyll),EXO,"Kaelin Ellis,Tay Jasper,Homegrown,Adrian Mckinnon,Jordain Johnson,Aaron Fresh,Hautboi Rich"
2020,1,13,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,"신사동호랭이,최규성"
2020,1,14,Ya Ya Ya,EXO,"Dem Jointz,라이언 전,David Brown,Charles Hinshaw,Allen Gordon Jr,Coko,Tamara Johnson,Andrea Martin,Ivan Matias"
2020,1,15,FANCY,TWICE (트와이스),"블랙아이드필승,전군,라도"
2020,1,16,Baby You Are,EXO,"Wendy Wang,MoZella,Benjamin Ingrosso,Allakoi Peete"
2020,1,17,Non Stop,EXO,"Daniel 'Obi' Klein,Charli Taft,Andreas ?berg"
2020,1,18,달라달라,ITZY (있지),"별들의전쟁,아테나,GALACTIKA"
2020,1,19,"FEVER (Feat. 수퍼비, BIBI)",박진영 (J.Y. Park),"박진영,김승수"
2020,1,20,벌써 12시,청하,"블랙아이드필승,전군,라도"
2020,1,21,Snapping,청하,"박우상,한재완"
2020,1,22,ICY,ITZY (있지),"J.Y. Park 'The Asiansoul',Cazzi Opeia,Ellen Berg,Daniel Caesar,Ludwig Lindell,Ashley Alisha,Cameron Neilson,Lauren Dyson,이해솔"
2020,1,23,Good Guy,SF9,"Daniel Kim,Takey,Al Swettenham,Geek Boy"
2020,1,24,날라리 (LALALAY),선미,"선미,FRANTS"
2020,1,25,YES or YES,TWICE (트와이스),"David Amber,Andy Love"
2020,1,26,Dance The Night Away,TWICE (트와이스),"Anne Judith Stokke Wik,Jonatan Gusmark,Ludvig Evers a.k.a Moonshine,Cazzi Opeia,오승은,Andreas Baertels"
2020,1,27,멍청이(twit),화사 (Hwa Sa),"Dokkun,박우상,화사"
2020,1,28,FLOWER SHOWER,현아,"싸이,유건형,Space One,Anna Timgren"
2020,1,29,음파음파 (Umpah Umpah),Red Velvet (레드벨벳),"Christoffer Lauridsen,Andreas ?berg,Allison Kaplan"
2020,1,30,Roller Coaster,청하,"블랙아이드필승,전군,라도"
2020,1,31,이루리,우주소녀,"KZ,Nthonius,비오"
2020,1,32,Thumbs Up,모모랜드 (MOMOLAND),"이단옆차기,Bull$EyE,Ondine,De view,김도다리"
2020,1,33,Love Shot,EXO,"Mike Woods,Kevin White,Andrew Bazzi,Anthony Russo,MZMC,Rice n' Peas"
2020,1,34,별이 빛나는 밤,마마무 (Mamamoo),"Dokkun,박우상"
2020,1,35,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),"Daniel Caesar,Ludwig Lindell,Caesar & Loui"
2020,1,36,뿜뿜,모모랜드 (MOMOLAND),"신사동호랭이,BXN"
2020,1,37,다섯 번째 계절 (SSFWL),오마이걸 (OH MY GIRL),"Steven Lee,Joe Lawrence,Caroline Gustavsson"
2020,1,38,고고베베 (gogobebe),마마무 (Mamamoo),"김건모,Dokkun"
2020,1,39,BLUE MOON (Prod. GroovyRoom),"효린, 창모 (CHANGMO)",그루비룸
2020,1,40,스물셋,아이유,"이종훈,이채규,IU"
2020,1,41,Bad Boy,Red Velvet (레드벨벳),"The Stereotypes,Maxx Song,Whitney Phillips,유영진"
2020,1,42,마지막처럼,BLACKPINK,"TEDDY,FUTURE BOUNCE,Lydia Paek"
2020,1,43,In & Out,Red Velvet (레드벨벳),"KENZIE,Moonshine,Cazzi Opeia"
2020,1,44,LATATA,(여자)아이들,"빅싼초,전소연"
2020,1,45,너랑 나,아이유,이민수
2020,1,46,Forever Young,BLACKPINK,"TEDDY,FUTURE BOUNCE,R.Tee"
2020,1,47,불타오르네 (FIRE),방탄소년단,"PDOGG,방시혁,RM,SUGA,Devine Channel"
2020,1,48,9와 4분의 3 승강장에서 너를 기다려 (Run Away),투모로우바이투게더,"Slow Rabbit,Supreme Boi,Melanie Fontana,Michel 'Lindgren' Schulz,Andreas Carlsson,'Hitman' Bang,Pauline Skott,Peter St James"
2020,1,49,What is Love?,TWICE (트와이스),"J.Y. Park 'The Asiansoul',이우민 'Collapsedone'"
2020,1,50,BUNGEE (Fall in Love),오마이걸 (OH MY GIRL),"Hyuk Shin,정윤,Ashley Alisha,JJ Evans,MooF"
2020,1,51,비밀정원,오마이걸 (OH MY GIRL),"Steven Lee,Mayu Wakisaka,Sean Alexander"
2020,1,52,비올레타,IZ*ONE (아이즈원),"최현준,김승수,박슬기"
2020,1,53,좋은 날,아이유,이민수
2020,1,54,FLASH,X1 (엑스원),"SCORE,Megatone,Onestar"
2020,1,55,너나 해 (Egotistic),마마무 (Mamamoo),"김도훈,박우상"
2020,1,56,Decalcomanie (데칼코마니),마마무 (Mamamoo),"MGR,Dokkun,박우상"
2020,1,57,Heart Shaker,TWICE (트와이스),"David Amber,Sean Alexander,Avenue 52"
2020,1,58,리베카,양준일,"이형주,이형탁"
2020,1,59,CHEER UP,TWICE (트와이스),"블랙아이드필승,라도"
2020,1,60,우린 결국 다시 만날 운명이었지 (Destiny),마마무 (Mamamoo),"Dokkun,박우상"
2020,1,61,REALLY REALLY,WINNER,"강승윤,강욱진,MINO"
2020,1,62,Power Up,Red Velvet (레드벨벳),"Ludvig Evers a.k.a Moonshine,Jonatan Gusmark,Ellen Berg Tollbom,Cazzi Opeia"
