년도,월,순위,타이틀,가수,프로듀서
2020,1,1,METEOR,창모 (CHANGMO),CHANGMO
2020,1,2,아무노래,지코 (ZICO),"ZICO, Poptime"
2020,1,3,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","염따 (YUMDDA), 딥플로우 (Deepflow), 팔로알토 (Paloalto), The Quiett (더 콰이엇), 사이먼 도미닉 (Simon Dominic)","noisemasterminsu, YUMDDA, Deepflow, 김효은, Huckleberry P"
2020,1,4,빌었어,창모 (CHANGMO),CHANGMO
2020,1,6,BAND,"창모 (CHANGMO), Hash Swan (해쉬스완), ASH ISLAND (애쉬 아일랜드), 김효은 (Keemhyoeun)",Cashbanger
2020,1,10,달려,"염따 (YUMDDA), 딥플로우 (Deepflow), 팔로알토 (Paloalto), The Quiett (더 콰이엇), 사이먼 도미닉 (Simon Dominic)","프리마 비스타, Pat Van Dyke, YUMDDA, The Quiett"
2020,1,11,중2병,"염따 (YUMDDA), 딥플로우 (Deepflow), 팔로알토 (Paloalto), The Quiett (더 콰이엇), 사이먼 도미닉 (Simon Dominic)",noisemasterminsu
2020,1,12,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),염따 (YUMDDA),"YUMDDA, UNTITLEDS"
2020,1,14,Nerdy Love (Feat. 백예린),pH-1 (피에이치원),"Mokyo, Jetti, pH-1, Yerin Baek"
2020,1,18,"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",지코 (ZICO),"ZICO, PEEJAY, Jvcki Wai, YUMDDA"
2020,1,19,텅 (Feat.김하온 (HAON)),빈첸 (VINXEN),"VINXEN, VAN.C"
2020,1,20,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이 (GIRIBOY),"GIRIBOY, CODE KUNST"
2020,1,21,REMEDY (Feat. 청하 (CHUNG HA)),창모 (CHANGMO),"CHANGMO, Paul Blanco"
2020,1,22,아름다워,창모 (CHANGMO),CHANGMO
2020,1,23,호랑이소굴 (Feat. Jvcki Wai),기리보이 (GIRIBOY),"Minit, GIRIBOY, Jvcki Wai"
2020,1,24,Selfmade Orange (Feat. SUPERBEE),창모 (CHANGMO),CHANGMO
2020,1,25,Paranoid,ASH ISLAND (애쉬 아일랜드),"ASH ISLAND, TOIL"
2020,1,26,사람,지코 (ZICO),"ZICO, Poptime"
2020,1,27,"담아 (Feat. 염따, pH-1) (Prod. BOYCOLD)","스윙스 (Swings), 키드밀리 (Kid Milli), 매드클라운 (Mad Clown)","BOYCOLD, YUMDDA"
2020,1,28,가라사대,BewhY (비와이),BewhY
2020,1,30,맵고짜고단거 (Feat. 페노메코),다이나믹 듀오 (Dynamicduo),"APRO, GAEKO"
2020,1,33,돈 Call Me (Prod.BRLLNT),염따 (YUMDDA),"YUMDDA, BRLLNT"
2020,1,34,비워 (Beer) (Prod. Way Ched),"창모 (CHANGMO), Hash Swan (해쉬스완), ASH ISLAND (애쉬 아일랜드), 김효은 (Keemhyoeun), 릴러말즈 (Leellamarz), The Quiett (더 콰이엇)",Way Ched
2020,1,35,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1 (피에이치원), 키드밀리 (Kid Milli), 루피 (Loopy)","CODE KUNST, Paloalto, pH-1, Kid Milli, Loopy"
