월,순위,타이틀,가수
1,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)"
1,2,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI)
1,3,Life Goes On,방탄소년단
1,4,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI)
1,5,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (Mirani)
1,6,어떻게 지내 (Prod. By VAN.C),오반
1,7,METEOR,창모 (CHANGMO)
1,8,Freak (Prod. Slom),"릴보이 (lIlBOI), 원슈타인, Chillin Homie, 스카이민혁 (Skyminhyuk)"
1,9,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI)
1,10,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda
1,11,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),스윙스
1,12,봄날,방탄소년단
1,13,눈누난나 (NUNU NANA),제시 (Jessi)
1,14,Downtown Baby,블루 (BLOO)
1,15,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM)
1,16,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",머쉬베놈 (MUSHVENOM)
1,17,아무노래,지코 (ZICO)
1,18,ON,방탄소년단
1,19,적외선 카메라,원슈타인
1,20,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),"스윙스, 맥대디 (Mckdaddy), Khakii (카키), 래원 (Layone)"
1,21,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)",머쉬베놈 (MUSHVENOM)
1,22,부어라 비워라 (Tricker) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM)
1,23,사랑은(Feat.원슈타인),마미손
1,24,Pretty Savage,BLACKPINK
1,25,"Rosario (Feat. CL, ZICO)",에픽하이 (EPIK HIGH)
1,26,축하해 (Prod. By VAN.C),오반
1,27,내 얘기 같아 (Feat. 헤이즈),에픽하이 (EPIK HIGH)
1,28,Summer Hate (Feat. 비),지코 (ZICO)
1,29,잠시,방탄소년단
1,30,사랑이었나봐,기리보이
1,31,"윈윈 (Feat. 개코, BewhY) (Prod. BewhY)","허성현 (Huh), dsel (디젤), 가오가이 (kaogaii), Untell (언텔)"
1,32,도망가,MINO (송민호)
1,33,옜다,"머쉬베놈 (MUSHVENOM), 저스디스 (JUSTHIS)"
1,34,병,방탄소년단
1,35,"Hero (Feat. JUSTHIS, Golden) (Prod. GroovyRoom)",Khundi Panda
1,36,Bad News Cypher vol.2 (Feat. TakeOne),릴보이 (lIlBOI)
