월,순위,타이틀,가수
1,1,Way Back Home,숀 (SHAUN)
1,2,습관 (Bad Habits),숀 (SHAUN)
1,3,행복,오반
1,4,이 노래가 클럽에서 나온다면,우디 (Woody)
1,5,여행,볼빨간사춘기
1,6,선물,멜로망스
1,7,동화,멜로망스
1,8,매트리스,10CM
1,9,오늘,오왠 (O.WHEN)
1,10,나의 사춘기에게,볼빨간사춘기
1,11,폰서트,10CM
1,12,나만 안되는 연애,볼빨간사춘기
1,13,썸 탈꺼야,볼빨간사춘기
1,14,아름다워,창모 (CHANGMO)
1,15,남이 될 수 있을까,"볼빨간사춘기, 스무살"
1,16,스토커,10CM
1,17,니가 보고싶은 밤,윤딴딴
1,18,우주를 줄게,볼빨간사춘기
1,19,좋다고 말해,볼빨간사춘기
1,20,겨울을 걷는다,윤딴딴
1,21,안아줘,정준일
1,22,비행운,문문 (MoonMoon)
1,23,욕심,멜로망스
1,24,Wu,나플라 (nafla)
1,25,#첫사랑,볼빨간사춘기
1,26,취한김에,어쿠루브
1,27,마에스트로 (Maestro),창모 (CHANGMO)
1,28,Traveler,숀 (SHAUN)
1,29,TOMBOY,혁오 (HYUKOH)
1,30,홍연,안예은
1,31,Blue,볼빨간사춘기
1,32,별 보러 가자,적재
1,33,사랑한다는 말로는,피아노맨
1,34,심술,볼빨간사춘기
1,35,눈송이,"오반, 빈첸"
1,36,오래된 노래,스탠딩 에그
1,37,터미널 (Terminal),숀 (SHAUN)
1,38,아이야 (Feat. Beenzino),창모 (CHANGMO)
1,39,남은 기억,윤딴딴
1,40,고백,정준일
1,41,You(=I),볼빨간사춘기
1,42,하염없이 (Feat. 정동원),"T.P RETRO (타디스 프로젝트舊), 학선"
1,43,좋아해 (bye),CHEEZE (치즈)
1,44,Bench,그리즐리 (Grizzly)
1,45,내 마음이,요한
1,46,그림,오왠 (O.WHEN)
1,47,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비
1,48,Downtown Baby,블루 (BLOO)
1,49,위잉위잉,혁오 (HYUKOH)
1,50,Little Star,스탠딩 에그
1,51,우리집을 못 찾겠군요 (Feat. 볼빨간사춘기),매드클라운
1,52,Lonely,볼빨간사춘기
1,53,어떻게 생각해,CHEEZE (치즈)
1,54,혜화동 거리에서,피아노맨
1,55,널 생각해,원 모어 찬스 (one more chance)
1,56,취한 밤 (Feat. 진실 of Mad Soul Child),오반
1,57,첫사랑,에피톤 프로젝트
1,58,Good Night,김민석 (멜로망스)
1,59,지쳤니,바닐라 어쿠스틱
1,60,가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학
1,61,혹시 모르니까,윤딴딴
1,62,봄이 좋냐??,10CM
1,63,사랑은 은하수 다방에서,10CM
1,64,"생각나 (Feat. 오반 (OVAN), SUMIN)",숀 (SHAUN)
1,65,행복,소란 (SORAN)
1,66,She (Hidden Track No.V 1월 선정곡),잔나비
1,67,하고 싶은 말 (Feat. 한올),어쿠루브
1,68,처음 만날때처럼,잔나비
1,69,The Time Goes On,BewhY (비와이)
1,70,"그대와 나, 설레임 (Feat. 소울맨)",어쿠스틱 콜라보
1,71,오빠야,신현희와김루트
1,72,나랑 아니면,검정치마
1,73,프리지아,볼빨간사춘기
1,74,물감,문문 (MoonMoon)
1,75,LOVE YA!,혁오 (HYUKOH)
1,76,그게 뭐라고,어쿠루브
1,77,Mood Indigo,CHEEZE (치즈)
1,78,pet,10CM
1,79,Dejavu,볼빨간사춘기
1,80,X Song,볼빨간사춘기
1,81,우리 이렇게 헤어지기로 해,정준일
1,82,"너, 너",스트레이 (The Stray)
1,83,"수고했어, 오늘도",옥상달빛
1,84,그런 날 (Feat. 김호연 of 달 좋은 밤),크래커 (CRACKER)
1,85,싸운날,볼빨간사춘기
1,86,선을 그어 주던가,1415
1,87,꽃길만 걷게 해줄게,데이브레이크 (DAYBREAK)
1,88,다 정한 이별 (Vocal. 10cm),하상욱
1,89,와리가리,혁오 (HYUKOH)
1,90,고백,델리스파이스
1,91,City,오왼 (Owen)
1,92,고백,뜨거운 감자
1,93,부끄럼,멜로망스
1,94,"Dali, Van, Picasso",빈지노 (Beenzino)
1,95,Laputa (Feat. Crush),DPR LIVE
1,96,냉탕에 상어 (Feat. 블랙넛),수퍼비 (SUPERBEE)
1,97,그건 니 생각이고,장기하와 얼굴들
1,98,여름밤에 우린,스탠딩 에그
1,99,별이 되지 않아도 돼,109
1,100,나를 사랑하는 그대에게,멜로망스
2,1,이 노래가 클럽에서 나온다면,우디 (Woody)
2,2,Way Back Home,숀 (SHAUN)
2,3,행복,오반
2,4,습관 (Bad Habits),숀 (SHAUN)
2,5,여행,볼빨간사춘기
2,6,선물,멜로망스
2,7,동화,멜로망스
2,8,남은 기억,윤딴딴
