년도,월,순위,타이틀,가수,프로듀서
2020,1,1,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"마크툽,이라온,Triple Synergy,박민지"
2020,1,2,조금 취했어 (Prod. 2soo),임재현 (Lim Jae Hyun),2soo
2020,1,3,있어줘요,장덕철 (JANG DEOK CHEOL),"덕인,DOKO"
2020,1,4,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB),"마크툽,이라온,Triple Synergy,박민지"
2020,1,5,워커홀릭,볼빨간사춘기 (BOL4),"안지영,바닐라맨"
2020,1,6,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),
2020,1,7,주저하는 연인들을 위해,잔나비 (Jannabi),"잔나비 최정훈,김도형,유영현,권박사"
2020,1,8,지구는 멸망하지 않아,우디 (Woody),"김동휘,Francis,민연재,우디"
2020,1,9,Way Back Home,숀 (SHAUN),숀
2020,1,10,인사,멜로망스 (MeloMance),정동환
2020,1,11,"나만, 봄",볼빨간사춘기 (BOL4),"안지영,바닐라맨"
2020,1,12,가끔은,정효빈 (Jeong Hyo Bean),"한밤,김현수"
2020,1,13,선물,멜로망스 (MeloMance),"멜로망스,정동환"
2020,1,14,이 노래가 클럽에서 나온다면,우디 (Woody),"우디,김동휘"
2020,1,15,여행,볼빨간사춘기 (BOL4),"안지영,바닐라맨"
2020,1,16,서툰 이별을 하려해 (Feat.전상근),윤토벤 (YounToven) ,B.a.B
2020,1,17,그대가 살아서,정동원 (Jeong Dong Won),"리트너,더필름,임정규"
2020,1,18,별 보러 갈래?,볼빨간사춘기 (BOL4),"안지영,바닐라맨"
2020,1,19,나의 사춘기에게,볼빨간사춘기 (BOL4),"안지영,바닐라맨"
2020,1,20,헤어져야 사랑을 알죠,스탠딩 에그,"황세준,조대민,최지훈"
2020,1,21,스토커,10CM (십센치),"10CM,Fine Five"
2020,1,22,폰서트,10CM (십센치),"10CM,이요한,성수용,이윤혁"
2020,1,23,오늘도 그대만 (Feat. 정동원),T.P RETRO (타디스 프로젝트舊),최현석
2020,1,24,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비 (Jannabi),잔나비
2020,1,25,대충 입고 나와,우디 (Woody),"우디,로브,송호일"
2020,1,26,우주를 줄게,볼빨간사춘기 (BOL4),"바닐라맨,안지영,낯선아이"
2020,1,27,어색한 사이,"볼빨간사춘기 (BOL4), 바닐라 어쿠스틱 (Vanilla Acoustic), 스웨덴세탁소 (Sweden Laundry), 스무살 (20 YEARS OF AGE), 레터 플로우 (Letter flow), 김지수 (Kim Jisu), WH3N (웬), 보라미유 (BORAMIYU), 최유리 (Choi Yu Ree)",바닐라맨
2020,1,28,끝난 사이,보라미유 (BORAMIYU),Noheul
2020,1,29,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비 (Jannabi),잔나비
2020,1,31,행복,오반 (OVAN),"피아노맨,J.Litz"
2020,1,32,안아줘,정준일 (Jung Joon Il),정준일
2020,1,33,나만 안되는 연애,볼빨간사춘기 (BOL4),"안지영,바닐라맨"
2020,1,34,축제,멜로망스 (MeloMance),정동환
2020,1,35,별 보러 가자,적재 (Jukjae),"적재,추대관"
2020,1,36,좋다고 말해,볼빨간사춘기 (BOL4),"바닐라맨,안지영"
2020,1,37,썸 탈꺼야,볼빨간사춘기 (BOL4),"안지영,바닐라맨"
2020,1,38,그대 없는 밤에 (Feat. 전상근),에이치코드 (H:CODE),"에이치코드,이승표,한희준"
2020,1,39,웃으며,"임재현 (Lim Jae Hyun), 문성욱 (Moon SeongWook)","문성욱,LAGOON"
2020,1,40,겨울을 걷는다,윤딴딴 (YUN DDanDdan),"윤딴딴,nineoff"
